,,r2_log1p,r2_log1p,mae_log1p,mae_log1p,rmse_raw,rmse_raw,spearman_raw,spearman_raw,roc_auc,roc_auc,bal_acc,bal_acc
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
level,features,,,,,,,,,,,,
np_material,full_84,0.7999,0.1097,0.0479,0.013,0.8545,0.4907,0.7249,0.0763,0.8551,0.0634,0.7688,0.0543
np_material,parsi_6,0.812,0.1159,0.0471,0.0134,0.8935,0.4954,0.7354,0.0958,0.8699,0.0762,0.7886,0.0642
npunid,full_84,0.8331,0.0947,0.0447,0.0113,0.7443,0.4359,0.7495,0.0675,0.88,0.0562,0.7985,0.0568
npunid,parsi_6,0.831,0.0991,0.0453,0.012,0.7916,0.4418,0.7609,0.0835,0.8882,0.0628,0.8067,0.0602
