scheme,model,k,r2,r2_lo,r2_hi,mae,mae_lo,mae_hi,rmse,rmse_lo,rmse_hi,spearman_raw,spearman_raw_lo,spearman_raw_hi
by protein,"RF, full 84",84,0.40088312333200227,0.1962331477100153,0.5078658272539849,0.09347299786335311,0.07253724322792714,0.11376259025808332,0.2653092427868081,0.20627149548075688,0.3234840251709545,0.5017309757861698,0.4317078476511246,0.5681340416342543
by protein,"RF, parsimonious 6",6,0.4240723079025218,0.20936888408479412,0.5646808739424417,0.09201776720445855,0.07169633430635183,0.11338117069211542,0.2601240959607396,0.20927454136050683,0.3120189065055832,0.48479805420374766,0.41644323755210816,0.5475764203137641
by protein,"RF, serum only",1,0.4059450086862413,0.06632820079861695,0.6187034411400653,0.09433115149791069,0.07404839116398068,0.11557053012597301,0.2641860782443388,0.21890672362385122,0.3061383766321648,0.21166544120571845,0.10932382556704466,0.30641024835462566
by protein,"Linear regression, full 84",84,0.40537388656795703,0.1935534645560265,0.4990465970783491,0.1462731343830974,0.12844236614083474,0.16653517468854237,0.2643130414613751,0.2164954531507988,0.32042505299760554,0.45096560681107767,0.37453060044668574,0.5244652281547929
by protein,"Linear regression, parsimonious 6",6,0.42595854419398793,0.2669593926301278,0.5073704641475175,0.11092179246339703,0.0910684800022344,0.13368703727211448,0.2596977768968918,0.2021052083658906,0.3288598961533182,0.38876949987950066,0.30181126668880737,0.471478302291943
by protein,"Ridge, full 84",84,0.4094687800463772,0.1982264990049796,0.5025671051591231,0.14483136469864985,0.12732609827551872,0.16555518430842414,0.2634013731522959,0.2155000412655344,0.31950360157036967,0.45420801753872303,0.3812906127174489,0.5268785828311148
by protein,Baseline: training mean,6,-0.0028773463691884604,-0.015200116482938796,-0.0017132299319808037,0.1512935890070043,0.12747201776044045,0.1803745365888976,0.34325787849552825,0.2496418312610654,0.4455890612733365,-0.044721863127323264,-0.12897383243697258,0.03724638397171922
by nanoparticle,"RF, full 84",84,0.8131574866396346,0.7538285988077501,0.8666979432868162,0.04667812319221112,0.040230182304808355,0.05345626307357487,0.1481611886949264,0.1240656915903823,0.17062658741779368,0.7293711340450391,0.685978362175873,0.7664426505352199
by nanoparticle,"RF, parsimonious 6",6,0.8185699296166395,0.7513959460713271,0.8755323505106327,0.046144879700479605,0.03952972630757069,0.053832816372889114,0.14599945609614387,0.11976181001227894,0.17189106085053013,0.7385640603132031,0.683046706426566,0.7832036421159086
by nanoparticle,"RF, serum only",1,0.7467450126421651,0.6835970326355215,0.8021810475127044,0.05865858941349785,0.053162212670934135,0.06473681056386091,0.17249464083214353,0.15128692081884632,0.19348241850559236,0.39578029407804705,0.3575685479987366,0.4390600153028847
by nanoparticle,"Linear regression, full 84",84,0.5022813025462269,0.45264984637309674,0.5350432252368859,0.1292955253366788,0.12539439427101792,0.13401293656294663,0.24181797570085223,0.23244515172550623,0.2537310306208346,0.45598606419336335,0.43227603500449313,0.47081050471555336
by nanoparticle,"Linear regression, parsimonious 6",6,0.44674019772235707,0.40135956158799846,0.47691913600134295,0.10979708973568982,0.10635365056037492,0.11408414820985391,0.25495360779061105,0.24712785111226826,0.26500476988536764,0.3839350770179,0.3579632244316776,0.40491925640820264
by nanoparticle,"Ridge, full 84",84,0.5019135851198352,0.4527735680141644,0.5343282024222563,0.12896848041828318,0.12508162515638663,0.13370930313434298,0.2419072874611109,0.23271193849908503,0.2538061869337589,0.45761978678889775,0.4353326258118852,0.4718320773562989
by nanoparticle,Baseline: training mean,6,-0.00020624652087830597,-0.0007158426805612128,-0.00010412944869297448,0.15098003353420222,0.14712720775891688,0.1543438285417895,0.3428004509770398,0.33785400347655553,0.3473887793703209,-0.07973438995680313,-0.1318904882858854,-0.030092209094014003
