scheme,dropped,k,roc_auc,d_roc_auc,r2_log1p,d_r2
by protein,serum,83,0.6636657897834858,-0.01322467096709834,-0.259060163721172,-0.6599432870531743
by protein,nanoparticle,72,0.6353266655737717,-0.04156379517681241,0.39286495576186464,-0.008018167570137624
by protein,experimental,81,0.6745147894728543,-0.0023756712777298628,0.4067527069851218,0.0058695836531195145
by protein,protein,16,0.5865044249410368,-0.0903860358095473,0.4309129748411564,0.03002985150915416
by nanoparticle,serum,83,0.8628581844080563,0.0013114739669118913,0.8111045796512716,-0.0020529069883630235
by nanoparticle,nanoparticle,72,0.8201019693013871,-0.04144474113975727,0.766697736720581,-0.04645974991905366
by nanoparticle,experimental,81,0.8615212676261405,-2.5442815003939856e-05,0.8101367233684833,-0.0030207632711513055
by nanoparticle,protein,16,0.6352619812278785,-0.22628472921326592,0.7731984488333831,-0.03995903780625154
