level,features,n_folds,r2_log1p,mae_log1p,rmse_raw,spearman_raw,roc_auc,bal_acc
npunid,full_84,18,0.8304807560551735,0.044726880190381665,0.8563996879985696,0.7414552761478546,0.8768607178706299,0.7964175966359373
npunid,parsi_6,18,0.8279989970897199,0.04529607045958836,0.90057501755087,0.7469885970896704,0.881244675346013,0.8029100529100529
np_material,full_84,11,0.8131574866396346,0.04667812319221112,0.8864790836389328,0.7293711340450391,0.8615467104411444,0.7746751296345806
np_material,parsi_6,11,0.8185699296166395,0.046144879700479605,0.9237358714000604,0.7385640603132031,0.8742918645705087,0.7968937210983374
