scheme,features,n_folds,n_scored,r2_log1p,mae_log1p,rmse_raw,spearman_raw,roc_auc,bal_acc
by protein,full_84,10,6768,0.40088312333200227,0.09347299786335311,1.7965201418845194,0.5017309757861698,0.6768904607505841,0.5883487310499164
by nanoparticle,full_84,11,6768,0.8131574866396346,0.04667812319221112,0.8864790836389328,0.7293711340450391,0.8615467104411444,0.7746751296345806
doubly blocked,full_84,20,6768,0.32573474683615133,0.09788688459554408,1.8888226174596334,0.4640337351167639,0.6096573407518164,0.552036195361211
by protein,parsi_6,10,6768,0.4240723079025218,0.09201776720445855,1.7388349543314299,0.48479805420374766,0.668345434027835,0.6119090528011302
by nanoparticle,parsi_6,11,6768,0.8185699296166395,0.046144879700479605,0.9237358714000604,0.7385640603132031,0.8742918645705087,0.7968937210983374
doubly blocked,parsi_6,20,6768,0.48064711138985694,0.08900333296560102,1.7267169792612238,0.46810189950862985,0.6444048911817679,0.5906097033670333
