level,features,fold,n_test,enriched_rate,r2_log1p,mae_log1p,rmse_raw,spearman_raw,roc_auc,bal_acc
npunid,full_84,17,376,0.3962765957446808,0.770564932231975,0.05243781556967676,1.3273270754517998,0.7288089421227711,0.8402270644236169,0.7592171007894036
npunid,full_84,18,376,0.3696808510638298,0.7280285024745465,0.06113695204784326,0.8596228538430881,0.6268369299282675,0.8072428133442613,0.734890568557812
npunid,full_84,19,376,0.44148936170212766,0.8315838741701735,0.04620013228086747,0.9322810425681987,0.7899279517568064,0.9046184738955824,0.8366609294320138
npunid,full_84,20,376,0.44148936170212766,0.8178779541725496,0.04608349024586569,0.7755415217250755,0.7749610302322956,0.9133390705679862,0.8503155479059094
npunid,full_84,21,376,0.4228723404255319,0.8827645746222091,0.04249078566185428,0.5048453247532471,0.7964520520311956,0.9650755006811003,0.8991826797669769
npunid,full_84,22,376,0.3882978723404255,0.837514294578959,0.04697766553511386,0.469857845476506,0.7482037812194726,0.8892793329362716,0.8114949374627755
npunid,full_84,23,376,0.4308510638297872,0.9453903253370105,0.029471117951500512,0.4678841376560454,0.813475808313928,0.9301949925002885,0.8099688473520249
npunid,full_84,24,376,0.35904255319148937,0.8562176388247935,0.044614779021981375,0.4275555904566593,0.7958305004241947,0.921622867680959,0.8481327800829876
npunid,full_84,25,376,0.43617021276595747,0.8853065920506331,0.03988043293622569,0.49379807810303267,0.7711484119599927,0.9072422917625402,0.8077542567878508
npunid,full_84,26,376,0.43882978723404253,0.890681288370062,0.040563117091986046,0.6076839656399551,0.7278962413569591,0.8691081430417924,0.8101823926468477
npunid,full_84,27,376,0.4175531914893617,0.9088411590886303,0.03773511324960777,0.5647102660165554,0.7857920218284987,0.8895675188319808,0.8086845243288834
npunid,full_84,28,376,0.45478723404255317,0.8861244866914695,0.03965400034683346,0.4986566514569236,0.7894935326055255,0.9044929396662388,0.8152617315646841
npunid,full_84,29,376,0.46808510638297873,0.9542891073763482,0.027038697028063868,0.5659964705134335,0.8272079634928381,0.9435795454545455,0.8290909090909091
npunid,full_84,30,376,0.3537234042553192,0.8872955271754074,0.03706448086977807,0.344513735712505,0.79769745440867,0.9098053776416349,0.8272687892570934
npunid,full_84,31,376,0.3617021276595745,0.8969786061226549,0.033085269330739984,0.7939360408728715,0.7223503728197737,0.8583026960784313,0.7697303921568628
npunid,full_84,32,376,0.22872340425531915,0.744779753702492,0.0473823296372893,0.6515110778478702,0.7618615462603254,0.8492782678428228,0.7983560545308741
npunid,full_84,33,376,0.3882978723404255,0.6425218879262187,0.06870962730466809,0.9088443403662553,0.6544689454010144,0.7863311494937464,0.6686420488385945
npunid,full_84,34,376,0.2393617021276596,0.6297196915649615,0.06455803731697464,2.2028024297567397,0.5787436539270979,0.7499611499611499,0.6884226884226885
npunid,parsi_6,17,376,0.3962765957446808,0.7646676428578014,0.054064939277397715,1.3398565189603697,0.721376856503784,0.8466428170180056,0.7719007775773882
npunid,parsi_6,18,376,0.3696808510638298,0.6165051645199631,0.07380036835216486,0.9957840524194884,0.6344168732685879,0.8059375284582461,0.7302917159942932
npunid,parsi_6,19,376,0.44148936170212766,0.7816941958159307,0.05050179034253594,1.010437729464258,0.7903364522943375,0.8971026965002868,0.8414228341939185
npunid,parsi_6,20,376,0.44148936170212766,0.8388570675297017,0.04248213559734088,0.7874359136052013,0.8110104714938792,0.9320424555364315,0.8786861732644865
npunid,parsi_6,21,376,0.4228723404255319,0.8678001490365606,0.04124199478115785,0.40824271936928175,0.7912119104866061,0.9466133379706113,0.8562154015592847
npunid,parsi_6,22,376,0.3882978723404255,0.8901410724722701,0.03996000612119085,0.389991654606896,0.7607432277509087,0.929005360333532,0.8503573555687909
npunid,parsi_6,23,376,0.4308510638297872,0.9335731412706315,0.03230148182211466,0.7657682686331596,0.8377206096441602,0.9220895350178839,0.8061324564439829
npunid,parsi_6,24,376,0.35904255319148937,0.8598845250511451,0.04246061939211509,0.3903789367545512,0.8173080805619528,0.9336099585062241,0.8645766098048255
npunid,parsi_6,25,376,0.43617021276595747,0.8626989354831386,0.04461539416732572,0.5668901872301723,0.8211876689402446,0.9179417855499309,0.8192590888173032
npunid,parsi_6,26,376,0.43882978723404253,0.8776171768738138,0.04222747974205709,0.5729533573713691,0.7809331489332225,0.8932069510268563,0.8240126382306476
npunid,parsi_6,27,376,0.4175531914893617,0.8865309368642209,0.04266382820786105,0.6606387551031122,0.7846102384779916,0.9216182415728702,0.8437745397434779
npunid,parsi_6,28,376,0.45478723404255317,0.8938203579255934,0.03736682033703013,0.46025936258373745,0.8293054520739687,0.9106261588931679,0.8152617315646841
npunid,parsi_6,29,376,0.46808510638297873,0.932064568646453,0.0298357931487069,0.6721609930624839,0.8299396711573944,0.9457954545454546,0.8230681818181818
npunid,parsi_6,30,376,0.3537234042553192,0.8712433268224535,0.037167723575888795,0.49915472126003574,0.8055931224164133,0.9253380364491476,0.8487576967109132
npunid,parsi_6,31,376,0.3617021276595745,0.9049236085777652,0.033970800680245446,0.9260296654352738,0.7419555826446667,0.8320465686274511,0.71875
npunid,parsi_6,32,376,0.22872340425531915,0.849133308025903,0.04254749055199389,0.6053149492393889,0.7403648548120482,0.8901363271852445,0.8478748997594225
npunid,parsi_6,33,376,0.3882978723404255,0.7454004737437108,0.058161717548523784,0.975430623561578,0.6956696687052649,0.8368671828469327,0.6974985110184634
npunid,parsi_6,34,376,0.2393617021276596,0.5809182846353192,0.06995888462693997,2.2223777617896148,0.5027656647172226,0.7003885003885003,0.6834887334887335
np_material,full_84,0,752,0.3829787234042553,0.6663602283698573,0.06667523067312048,1.1971216901515287,0.611273937244918,0.7612734973659003,0.7233596743295019
np_material,full_84,1,376,0.2393617021276596,0.6297196915649615,0.06455803731697464,2.2028024297567397,0.5787436539270979,0.7499611499611499,0.6884226884226885
np_material,full_84,2,752,0.44813829787234044,0.8219725855494482,0.04800947300242208,0.7757221276222754,0.7602680726176174,0.8931393228701154,0.8258732258410497
np_material,full_84,3,752,0.3976063829787234,0.8552356375156399,0.04250103866087978,0.46589884496528045,0.755795240168195,0.9028291508855864,0.8031074885379521
np_material,full_84,4,752,0.4401595744680851,0.8499414909546289,0.04331915680059947,0.6809997082866368,0.7531051951310052,0.8838759678796707,0.8029472339631578
np_material,full_84,5,376,0.3617021276595745,0.8969786061226549,0.033085269330739984,0.7939360408728715,0.7223503728197737,0.8583026960784313,0.7697303921568628
np_material,full_84,6,752,0.39228723404255317,0.9134488392418767,0.035118473363417134,0.5881696673744219,0.8055313782241166,0.9128509438860661,0.8162222304639691
np_material,full_84,7,376,0.22872340425531915,0.744779753702492,0.0473823296372893,0.6515110778478702,0.7618615462603254,0.8492782678428228,0.7983560545308741
np_material,full_84,8,752,0.4454787234042553,0.9166127612550614,0.03478702097701416,0.5449465194360759,0.8061084627334975,0.9422813987615877,0.8115716382118185
np_material,full_84,9,752,0.4029255319148936,0.8613486701677638,0.042825083457610984,0.589457273771254,0.7647531700666018,0.86573757598477,0.7488220982454592
np_material,full_84,10,376,0.3882978723404255,0.6425218879262187,0.06870962730466809,0.9088443403662553,0.6544689454010144,0.7863311494937464,0.6686420488385945
np_material,parsi_6,0,752,0.3829787234042553,0.6176955003852305,0.0713113008758727,1.2411413423323945,0.6284240231694806,0.774769516283525,0.7442528735632183
np_material,parsi_6,1,376,0.2393617021276596,0.5809182846353192,0.06995888462693997,2.2223777617896148,0.5027656647172226,0.7003885003885003,0.6834887334887335
np_material,parsi_6,2,752,0.44813829787234044,0.7990957687898583,0.04783430595853156,0.8253451338086897,0.7975146165069039,0.8990204140002146,0.8151192306317258
np_material,parsi_6,3,752,0.3976063829787234,0.8756069682298643,0.03887056559735749,0.4426388869132698,0.8115066705254288,0.9323979120984591,0.8447473919688143
np_material,parsi_6,4,752,0.4401595744680851,0.8795711021197059,0.03957315685763771,0.6455118143029771,0.7946550953049413,0.9286944478331695,0.8375863825878537
np_material,parsi_6,5,376,0.3617021276595745,0.9049236085777652,0.033970800680245446,0.9260296654352738,0.7419555826446667,0.8320465686274511,0.71875
np_material,parsi_6,6,752,0.39228723404255317,0.8927140349111631,0.038558961032701976,0.7797000353449,0.8262325445557535,0.9281793568964878,0.8332789378036569
np_material,parsi_6,7,376,0.22872340425531915,0.849133308025903,0.04254749055199389,0.6053149492393889,0.7403648548120482,0.8901363271852445,0.8478748997594225
np_material,parsi_6,8,752,0.4454787234042553,0.9021573418155987,0.035346090147241556,0.5606253074037891,0.7785989688763738,0.9253910304592148,0.8121085221375139
np_material,parsi_6,9,752,0.4029255319148936,0.8848823090694269,0.04149009013112191,0.6049257633486526,0.7722592473085932,0.9213764360845884,0.8403603166552736
np_material,parsi_6,10,376,0.3882978723404255,0.7454004737437108,0.058161717548523784,0.975430623561578,0.6956696687052649,0.8368671828469327,0.6974985110184634
