abundance_controls,secondary_structure_fraction_sheet,zeta_potential,nsp_secondary_structure_coil,fraction_exposed_exposed_k,frac_aa_a
-0.11364827771034917,0.003445136960033153,-0.0005541235123365439,0.008433015156361228,0.0016359379462654452,-0.005360119079402633
-0.07011439116953286,-0.005480227581126845,-0.018362028299688603,-0.006345094478962675,-0.005426480031198031,-0.001000754058279324
-0.11389558910078654,0.0028306509352991507,0.004814213348320483,-0.004635002956541147,-0.0006109163145988613,-0.002969690847756413
-0.10533927008789633,-0.006923486173764933,0.006734988840112413,-0.0004384729418770364,-0.004002544632845004,0.0031898912443091183
-0.1055724509252806,0.0035715682083329627,0.004007496526158983,-0.005309813202934988,-0.00333372563044752,-0.0017849076957964839
0.2791963228410871,-0.12169672624232529,0.004176983296375769,-0.0780014813966754,-0.041948428286294,-0.020460764006625255
-0.09029440088089676,-0.010310380646963496,0.003327936537229408,-0.012096280618682282,-0.0006435715348677611,-0.004969774640630958
-0.12878272209457767,0.026797837281398354,0.0037239334173619952,-0.005679691199610405,-0.005834434459908526,0.006526704613436109
-0.08516920746674904,-0.005391977279307479,-0.008459404466970993,-0.0058708205147774625,-0.0024464753510567267,-0.006603100828077516
-0.09012519756401259,-0.0025996626684501515,-0.011525364019245636,-0.003996744810194185,-0.0013571063791509603,-0.003455739558183755
0.11023635196413074,-0.04563104724815924,0.0017597461367991113,-0.08949093108231808,-0.013748177425760266,-0.07081721807781417
-0.1172103188046652,0.022929694320518418,-0.00029123056811863337,0.00811861815529132,0.0016904921405024422,0.009760852831656742
-0.0876214082083653,-0.004234287353153583,-0.002540245219236183,-0.008723581232472721,-0.0004109221944163444,-0.00593114419118021
0.30925864738279,-0.15517361651257972,0.03828702349960558,-0.07038585048294801,-0.037349056892112736,-0.01956780108720063
-0.09352316087442666,-0.008648385487047789,0.0013073074399469386,-0.00960149527632744,-0.005768844253390419,0.00035711506665605294
0.35690364306476097,-0.03719623995422314,-0.07356845069991681,-0.07575868071359979,-0.07146542735129509,-0.057085382088022905
-0.09951798293988506,-0.0036222129148317066,0.005448017622594586,-0.004612564135560337,-0.008902222584939008,-0.004265418115160199
-0.07919443326598169,-0.004601191072108538,-0.004635100851388069,-0.009605395110754535,-0.008089035488376556,-0.00796171129663555
0.7033156396128026,0.12725814056068624,-0.18484740782932801,0.15033791348103004,0.07139567865747455,0.05382212145804447
-0.08791098466565979,-0.005785887634986901,-0.0014979796559218884,-0.009883184844996423,-0.00260336699577612,-0.006585061184385381
-0.09247623608710284,0.003249753973919843,0.008344914969653264,-0.005499142836206975,0.007063274984951834,0.00033524152430430306
-0.09660856353795488,-0.0040603485500844035,0.002516727314610573,-0.012431719608010228,0.003567497858228478,-0.006616613951381582
-0.10129323411455876,-0.00640070943556604,0.0006385131643727146,0.003706539049570133,-0.004644541296967673,-0.007736930902396906
-0.09093121829879665,0.008968049175974904,0.0073581657317031285,0.004761220709510232,-0.0023131027711006153,0.0031069880994139707
-0.08181309706443195,-0.006918739827177492,0.0023988263575963962,-0.005539164890565945,-0.005011592025441312,-0.006447612524427554
-0.09829631062637455,-0.009595284826728076,0.004481655169847927,-0.00848377797275574,1.9279049736748424e-05,-0.002526180918622887
-0.10930152635071776,-0.005218823409955556,0.006721713394588833,-0.004256773619567924,-0.0005392376678729277,-0.0029993777058667103
-0.0955742215885217,0.010938466582360374,-0.008371581618027547,-0.005325580970610478,0.01701684672454339,0.02031905495376658
-0.08062487410104584,-0.009212124210555091,0.0012822750015299518,-0.009075133478624015,-0.0040337396408503135,-0.0032219090159678002
-0.10613050241651097,0.004109024812349919,-0.002932505772226973,-0.007605156419681345,-0.004302769703071858,0.0008888635260821385
-0.11063686409740404,0.002824542760052199,0.00784474884511858,-0.00793434932813442,-0.004068170037650586,-0.003102338361155185
-0.11564021209036114,0.002229675738872517,0.007418511557512218,-0.005271603489931619,-0.0005212131788312202,-0.002525832344564169
-0.10647769239235583,-0.006061874125430856,0.0021785502491085047,-0.008670409583772938,-0.00027023178026819533,0.0030428148251707356
-0.11003249333183773,0.0008440617989108703,0.004684854954591558,-0.00982856308989401,-0.00338678457661438,0.0035642991395923996
-0.10958209763487209,0.0020118604691198483,-0.003985492373744025,0.00697197624586125,-0.002307057592211341,0.00202025659424266
-0.11394883264432439,-0.006815875287916395,0.0040579302590510345,0.011025631313904069,-0.0022748655062336965,-0.00736262332070349
-0.09323185195861869,0.002533035304912953,-0.012346132723176141,-0.00591596389164296,-0.002447598116063742,-0.0029963032846256213
-0.09555867000270174,-0.009756391332079997,0.001907471714169767,-0.005990545716295068,-3.353665355587368e-05,-0.003491182263977972
-0.09769578578626797,0.00304134781572719,0.0012411245490394182,-0.005804038573802603,-0.003786844464967494,-0.00856010499619945
-0.16748023732349618,0.001333597451045709,0.006789060664378258,0.048637104093503906,0.00015871524718097827,-0.005545439937506508
-0.0964118628884003,-0.004296052317302042,0.005944730610592765,-0.011269943271807251,0.0012766453255999657,-0.001795699111057939
1.4840278441426848,-0.038949575200974106,0.07860636386658724,-0.023984252124823077,0.00032823875667400325,0.008338436060333432
0.5464126627176147,0.11436932816709251,0.12142996065443354,-0.044266998831739686,0.12622696563218083,0.05197584362369697
-0.09477005501119362,0.0024391514582650614,-0.012297679854749109,-0.007077447941804289,2.5319148199272132e-05,-0.004401934636110103
-0.08917933415254468,0.0033656075587382922,-0.012764703484143247,-0.009085708437598178,-0.0016023670163502497,-0.0032296546542635676
0.20465710191187975,0.039998414478841914,0.004701797859431818,-0.009551711681242275,0.007406473071983572,0.029176278759549833
-0.1701428469120199,-0.0013438278596802854,0.007251291913984166,0.05180049379792956,-0.001932412176191817,-0.0018592611406484038
0.45250529343045914,0.04040872223259747,-0.1806627267161739,-0.044786037135688954,0.022782344437203585,0.00564808748980375
-0.01639698571798587,-0.00035171366357986296,-0.0027281341282679697,0.025836485389096584,-0.0029981220181700156,-0.008125220315528302
-0.08495203771490928,-0.01114810704236906,0.0020997299591213473,-0.01160891194467842,-0.003001541682676539,-0.007132378894912031
-0.10252277421565895,0.0003635851000325918,0.00035211925028390896,0.002576304802454499,-0.0007282461151507713,-0.008844404181582005
-0.10538448773483639,0.007313987071664453,-0.0033829171098592498,0.007123005791110371,-0.00013168441714054993,0.010907128286606477
-0.10285260209449996,0.0015886063607558857,-0.0028881932141436167,-0.005773802025356793,0.0003574195088279255,-0.0062092188370710755
-0.12630115099271594,0.011852854488757303,0.01105039479854135,-0.006555288543638969,-0.004869330196373257,0.0019593293528439447
-0.09656056392357681,0.004754981364374667,0.003011427843436038,-0.0058259211072964005,-0.0075653556981423,-0.006840513025209677
-0.09391345417651022,-0.009495740409573182,0.004193702334018352,-0.009661806849056844,-0.00047852139323900796,-0.004917870706681835
-0.13689672308112819,-0.005337370773290109,0.001957135660848071,0.04516656537062951,0.004517919909360271,-0.019105727686968933
-0.09012966100937654,-0.006483139694390406,-8.383778459209813e-06,-0.001298430949242589,-0.00765556251201928,-0.0034508178163341324
1.5503417416380214,-0.017063334842654026,0.05488649561944349,-0.024663921968933203,0.008619169888683022,0.022273453378476915
-0.10819947714513423,0.0006352216028954845,0.004571551485506983,-0.010083007432560945,-0.0034101307919468986,0.001510983575751132
-0.13182660971051885,0.02350648910547792,0.00268839415563668,0.004612288461427354,-5.664853774584057e-05,0.006501786027968862
-0.02251965232985934,0.008116757641016638,0.02086711196916587,0.03243587230031743,-0.004809624045709263,-0.005648303896443788
-0.09581295773290242,0.0037844012492978746,-0.002109235813715328,-0.008442188627127969,-0.005995799659780556,-0.006447920149196532
-0.08861017364588043,0.0007331879071128181,-0.011035743253044267,-0.009171612830768202,-0.0025676799055185696,-0.004859928741630831
0.38390498466492035,-0.1482673337206548,-0.008847279619708694,-0.08192898937153298,-0.016021488483728825,-0.04390964183570808
-0.07052583037756656,0.02637453440968458,-0.01595707579172974,0.02125310474126886,0.06891664915148661,0.006927936665050873
-0.07946253799113849,0.010484427008369233,0.06596718826139068,0.09657158184583367,0.07978825372334335,0.03291942980016825
-0.1097700433961843,0.004279092078736041,0.00011447418710826717,-0.007235796888748951,-0.004270117393163689,0.0009622497698525651
-0.09192258729491552,-0.004487041421420969,-0.0025807568073939516,-0.001966934362409858,-0.006254162270919429,-0.005056976373911488
3.8397752676780708,0.04898508881512285,0.0710004955204515,0.058817938727347474,0.04835665610579922,0.020378834748585286
-0.00459360679703681,-0.0013803580109086986,0.012414688859583656,0.015962343530219077,0.005045439257214038,-0.00043678550887786365
-0.10180971817709013,0.0022879888843961855,-0.00010476607414986987,-0.009245709580508653,-8.763444985739065e-05,-0.0006236662427861402
-0.09786161338629354,-0.0044369500247934115,0.001429861497689079,-0.0057102557712801144,-0.002772287155904363,-0.00467522753975644
-0.08560280918139546,-0.007160135881686251,-0.009636672582993656,-0.007951822415902081,-0.0009077229001392699,-0.004362332248090064
-0.08300230134902048,-0.004335949906456069,-0.009088996376946542,-0.009769384847054283,-0.004960860216740761,-0.001966997641576565
-0.1023120649574527,0.0027979801656104436,0.0018326220617793294,-0.007531871223525805,-0.005034285551458002,-0.003668558401189428
0.011403558921488022,0.003964148482498492,-0.0011478587334376844,-0.003186076026916832,0.04184975599584039,0.002319263666999568
-0.09294128205832204,-0.00632860712555748,0.004368502376865432,-0.008732974442088797,-0.006802510166453211,-0.005416851679429771
-0.10545481760806738,0.005364364194319041,0.006336700276811896,-0.0023553146942888134,0.007672123336161001,0.004835727317751289
0.30579450813957904,-0.01394757131826152,-0.04231335662610544,-0.032092108968973944,0.0012896362478676752,0.0032326708254154317
-0.08747186105205237,-0.005027780090275287,-0.010858369681500264,-0.00616693112127762,-0.0009489144925823326,0.0007949849038635403
-0.08119676315706358,-0.009223404789904025,-0.004331855667546303,-0.010505712792211151,-0.0054855731132389274,-0.0047362132568714715
-0.10220499142644128,0.0004302641640376163,-0.001433532519049581,-0.010106000223912679,-0.005751919719260659,0.0039468483792420685
-0.14144922340636507,0.022899276231581625,0.01225651517847981,-0.006750849780580166,-0.006315809367956735,0.0038724915070458004
-0.11036489175963672,0.003487417519292053,0.006196243669789314,-0.004542364488335048,-0.006441452577645593,-0.00387185305351805
0.5742578080275339,0.2160482209132078,-0.0013581258899610271,-0.029838694905309746,-0.02054517326155163,0.010532832282478446
-0.11382433438223992,0.00802947958815764,0.007135585766510801,0.004098310106257208,0.0008110071824905745,0.001179053573526213
-0.17213885418982347,0.008192713434161846,0.004415774431271833,0.05815559799739108,0.0014245788198289722,-0.0023969174112998346
-0.10514140586239598,0.01013273386695347,0.02111852749940195,0.009158337029308463,0.022425319817853347,0.012276746273794584
-0.08233972145980391,-0.011536517104684368,0.0004967821948115591,-0.010351028325924504,-0.0031739196688632737,-0.007129797286209292
-0.11146663284581752,0.0024152680806434506,0.006217808952153248,-0.006230208369858281,-0.0005410181493412467,-0.005747297299468792
-0.08451974980469014,0.0021151394393764053,0.004406872426677518,-0.0029639644343978293,0.0030512330164164073,-4.477363434105706e-05
-0.07919443326598169,-0.004601191072108538,-0.004635100851388069,-0.009605395110754535,-0.008089035488376556,-0.00796171129663555
-0.09992775000877478,-0.00065749938953501,-0.002326956586870065,-0.011470332773108253,-0.002527556236913646,0.0010983219152519183
-0.07979861487474828,-0.007935558252967378,-0.010524106543924135,-0.010789414389941803,-0.003974282001513339,-0.001896021424477167
0.5155610336519458,0.25529536425959565,0.04536290591212268,-0.009466164316495317,0.008213394434495142,-0.0027695238594702357
-0.09588940533853119,0.0013949849073172267,-0.011905441509027163,0.00817006359356641,-0.0012388103889269804,-0.0014900746765574508
