feature,abundance_controls,secondary_structure_fraction_sheet,zeta_potential,nsp_secondary_structure_coil,fraction_exposed_exposed_k,frac_aa_a
abundance_controls,1.0,-0.017850760744062312,0.0,-0.0264320808130622,-0.06338402381982511,-0.0522592825435668
secondary_structure_fraction_sheet,-0.017850760744062312,1.0,0.0,-0.4835100794544157,0.15464782756439743,0.5935056668887235
zeta_potential,0.0,0.0,1.0,0.0,0.0,0.0
nsp_secondary_structure_coil,-0.0264320808130622,-0.4835100794544157,0.0,1.0,-0.4276171403140767,-0.31282792114255337
fraction_exposed_exposed_k,-0.06338402381982511,0.15464782756439743,0.0,-0.4276171403140767,1.0,-0.035453754567514206
frac_aa_a,-0.0522592825435668,0.5935056668887235,0.0,-0.31282792114255337,-0.035453754567514206,1.0
