set,K,transform,r2_t,mae_t,r2_raw,mae_raw,rmse_raw,spearman_raw
full_84,84,log1p,0.8304807560551735,0.044726880190381665,0.8091256290831608,0.1279578908947582,0.8563996879985696,0.7414552761478546
full_84,84,asinh,0.8245298939196182,0.05573019529625166,0.8082835388222893,0.1286635357221949,0.8582867202435585,0.7360041761469472
full_84,84,log2_floor,0.7809822023449924,1.4665521661146979,0.796227690830064,0.1257172697094146,0.8848614490597513,0.7913456362033392
parsi_7,7,log1p,0.8280973411960737,0.04529704151066472,0.7889896079674804,0.13497848272780125,0.9004396556533812,0.7469753794692275
parsi_7,7,asinh,0.8223058499369461,0.056461834150597294,0.7877082480446909,0.13578469696341527,0.9031694761667827,0.7447499770821057
parsi_7,7,log2_floor,0.7727384317799709,1.4642726352311928,0.7781676973268714,0.1321667916021328,0.9232410041903881,0.7869524566940231
parsi_6,6,log1p,0.8279989970897198,0.04529607045958837,0.7889261613749687,0.1349852310114829,0.90057501755087,0.7469885970896704
parsi_6,6,asinh,0.8221678429459385,0.056469668833111636,0.7876631568675039,0.13579908775367322,0.9032653885426015,0.7447402761718951
parsi_6,6,log2_floor,0.7726579869885108,1.4646360935757492,0.7780575163230902,0.13218285437602362,0.9234702561778326,0.78686156633788
