target,k,inertia,silhouette
detection,2,85.12566551903384,0.581635330305985
detection,3,57.18597259187827,0.49526904862929005
detection,4,37.60137054726463,0.49424465560581526
detection,5,30.972068061411925,0.4937923801905734
detection,6,24.879317125353055,0.47537100353110084
detection,7,21.128598771185025,0.4382755558103892
detection,8,18.785761852516465,0.4201296058101751
detection,9,16.776034970154715,0.4042130138156803
detection,10,15.366656937862658,0.38619028538982686
enrichment,2,84.34108981089955,0.5366992293708512
enrichment,3,60.430509020622004,0.44752179739360193
enrichment,4,38.234907658086094,0.47757046652997515
enrichment,5,31.35093393039714,0.4158737687342697
enrichment,6,26.286186987618464,0.4242211449837049
enrichment,7,23.30629473283821,0.3695586739232063
enrichment,8,21.125217628448276,0.3665738606094971
enrichment,9,19.326594511432873,0.3422866210419034
enrichment,10,17.38944472392113,0.3487573556353059
