npunid,zeta_potential,ligand_pei
18,-63,0
17,-63,0
26,-49,0
20,-49,0
28,-42,0
19,-42,0
25,-12,0
24,-12,0
30,-11,0
23,-11,0
34,-7,0
31,-3,0
33,12,1
32,12,1
29,29,1
21,29,1
27,39,1
22,39,1
