n_features,cv_mae,cv_mae_std
1,0.05876057672279008,0.008127115644395022
2,0.05652064961729397,0.008844017119833568
3,0.056059183905340405,0.009041416528105792
4,0.05405220652966027,0.010339106784550597
5,0.05131710241629872,0.010036878352208537
6,0.05125731138056729,0.010117502547636568
7,0.051319473585410745,0.010064168179892582
8,0.051057163959254824,0.010082476106013812
9,0.04995296018502619,0.007890726940325282
10,0.049757401858110305,0.007837143036635469
11,0.04963060561786511,0.007899874836933546
12,0.049394686196374514,0.008056732297835798
13,0.04948351153576773,0.008209114717635626
14,0.049356123627377936,0.008101427582887955
15,0.04934364269606613,0.008366003438549674
16,0.049241031279029825,0.008281537132861233
17,0.04923121606452459,0.008274296346841192
18,0.04932085159038046,0.008356154732093711
19,0.0492658645264935,0.008219435234028244
20,0.04935390857821821,0.008165637152908948
21,0.04976459626660766,0.00839838905380612
22,0.049733425176105336,0.008333896399320797
23,0.049751571500661805,0.008341497038893387
24,0.04975399944588258,0.008347199913036677
25,0.049768118803792824,0.008328077022277348
26,0.04976355522156326,0.008206723463292293
27,0.049654845408214875,0.008255843443631632
28,0.049339740394345695,0.008359447021706023
29,0.049209416093776624,0.008256343833511003
30,0.04907000755988361,0.00822116571502627
31,0.048992820370723056,0.008144983026331305
32,0.049022178083333624,0.008155586775947778
33,0.048707979994728146,0.008492238399184763
34,0.04872553620137932,0.008305141478111176
35,0.048733287652212944,0.008341773821024525
36,0.048699964174062714,0.008327027607500788
37,0.048686902563633463,0.00838390327348009
38,0.048680535684992525,0.008446992636426445
39,0.048656347945768764,0.008453360641314234
40,0.048665471221912275,0.008429703534992245
41,0.04864482589871987,0.008331974953518418
42,0.04865117663950228,0.008398750787853541
43,0.04860355454347912,0.008277765646217804
44,0.04864542055390419,0.008304281039688794
45,0.04868437587669951,0.008226906667138182
46,0.04869208588852902,0.008211406824001087
47,0.04866221839345678,0.008249094746663911
48,0.048489104072718024,0.008144921020669568
49,0.04849414838928604,0.008100089691773053
50,0.0485527996127081,0.008105248491948661
51,0.04838167146054772,0.007895425164600779
52,0.04841389713096499,0.007919388561628705
53,0.04837107072515677,0.007956981016123788
54,0.04832537879810114,0.007957781149479209
55,0.04834900559554902,0.007959705023051883
56,0.04829267446939217,0.007925877539208745
57,0.04830627874220155,0.007997955613077382
58,0.048281398296184025,0.007996290069426716
59,0.048257511142664467,0.007945135580655766
60,0.04830417887641701,0.007974985562084582
61,0.04836243926633117,0.007958358847758421
62,0.04833747205138683,0.008077899767231186
63,0.04829886523544717,0.008103210086537976
64,0.04833759475706009,0.008052309138824007
65,0.048337496638725164,0.00802599661178909
66,0.048398708385986075,0.008025986337518573
67,0.04841630717449459,0.008010404278663074
68,0.048373789290320005,0.007970566448934938
69,0.04834761070659547,0.00799281735005886
70,0.048325846084444554,0.007930307361347665
71,0.04834857274163068,0.008011138776911184
72,0.04829347072217797,0.007973149960642937
73,0.04834878935394284,0.008016367962363762
74,0.04837439914052612,0.007992021640450079
75,0.048409673540133626,0.008012153800692555
76,0.04831863117935895,0.00802145048182011
77,0.0482347397966021,0.008012906278381157
78,0.048294954673351896,0.008064219948754123
79,0.04832535900356531,0.008090267435837569
80,0.04835930298485082,0.008057228033334455
81,0.04827104080802678,0.008014281705513725
82,0.04839718843139397,0.008055499850114561
83,0.0483251745610823,0.008053658510582677
84,0.0483656297872896,0.008068640397406185
