entry_id,cluster_detect,cluster_enrich,cluster_detect_full,cluster_enrich_full
C0HLN2,0,0,0,0
P01045,2,2,2,2
Q2KIU3,0,0,0,0
Q3SZP2,2,2,1,2
Q92176,1,1,1,1
Q05718,1,2,1,2
P60661,2,2,2,2
P05059,0,0,0,0
A7MB62,0,0,0,0
Q5E9F5,1,1,1,1
P56425,1,2,1,2
P16368,0,1,0,1
Q29423,0,0,0,1
P13135,1,1,1,2
Q2NKY7,0,0,0,0
P31098,0,0,0,1
Q6URK6,0,0,0,0
Q2KJC6,0,0,0,1
O77783,0,0,0,0
P30922,0,0,0,0
P31836,0,0,0,1
P98140,1,2,1,2
Q3SZV7,2,0,2,0
P20959,1,1,1,1
A2I7N2,1,0,1,0
P12260,2,2,2,2
Q5E9A1,0,0,0,0
Q32KL2,0,0,0,0
P00744,2,2,2,2
Q3SWY2,2,2,2,2
Q3SZI4,0,0,0,0
P19858,2,2,2,2
Q32L76,0,0,0,0
Q1RMU3,0,0,0,0
P10152,1,1,1,1
A6H768,0,0,0,0
P56652,2,2,2,2
Q2KJ83,1,1,1,1
Q32KY0,2,2,2,2
Q0VFX8,0,0,0,0
P34955,2,0,2,0
Q3SYW2,0,0,0,0
P05307,0,0,1,1
P12799,2,2,2,2
P20414,0,0,0,0
Q29RI6,0,0,0,0
E1BF81,0,0,0,0
Q29RM2,1,0,1,0
P80929,1,1,1,1
P81947,1,2,1,1
Q3SYR5,0,0,0,0
A2VE99,0,0,0,0
Q05716,1,1,1,2
Q27976,0,0,0,0
P02639,0,0,0,0
A5D7B7,1,1,0,1
A5D7D1,0,0,0,0
Q32PJ2,1,0,1,0
Q3MHL4,1,1,1,2
P19534,0,0,0,0
P79124,0,0,0,1
Q3SX14,2,2,2,2
Q08E11,0,0,0,1
Q95121,2,1,2,1
P19217,0,0,0,0
P01252,0,0,0,0
Q58DU5,0,0,0,1
P12661,1,1,1,1
Q5E9X0,0,0,0,0
Q2KJ93,0,0,0,0
Q27968,0,0,0,0
Q2T9V8,0,0,0,0
P63103,0,0,0,1
