model,feature,gini_observed,gini_boot_mean,gini_boot_ci_low,gini_boot_ci_high,null_mean,null_q95,p_altmann,p_altmann_bh,perm_mean,perm_ci_low,perm_ci_high,perm_ci_excludes_zero
RFC,zeta_potential,0.04707550289930788,0.06052998597325563,0.052500637490537655,0.06801191713850312,0.0627938201138432,0.06638154737781729,1.0,1.0,0.016831725533000448,-0.0007134051794707968,0.03160167643643974,False
RFC,abundance_controls,0.02920384062496652,0.020765682223533182,0.008531668497083918,0.03782538261851715,0.0036398787213224744,0.00479792828648965,0.0004997501249375312,0.0029985007496251873,0.020325179226144255,-0.026878840901331462,0.0595735057828719,False
RFC,dh_functionalized,0.02526069503595896,0.0342304660576531,0.029481806172838215,0.03876528224409157,0.07061913494084204,0.07443578452288191,1.0,1.0,0.005026968552087513,-0.0003365496857263006,0.014655603696466795,False
RFC,secondary_structure_fraction_sheet,0.02395885321062003,0.019962493049591343,0.010317159236526622,0.0326943986860358,0.009662790283435236,0.01093692068189272,0.0004997501249375312,0.0029985007496251873,0.01860208058343869,6.750316655119995e-05,0.05043391540272162,True
RFC,ligand_pei,0.02357737504033614,0.03297585384931564,0.02691679233956219,0.03906228791610087,0.018070644757345884,0.019750037510762458,0.0004997501249375312,0.0029985007496251873,0.010874927769620483,-0.0003412678995616231,0.025221025003453468,False
RFC,dtem,0.0174263418150504,0.022290789618433914,0.018825795314808016,0.026222256929770506,0.04687506224348753,0.04997073193085398,1.0,1.0,0.005287487352744765,-0.0010181958962446724,0.010311020036429827,False
RFC,frac_aa_a,0.015358560307233262,0.01567785809116626,0.008760719879673699,0.028115056328216426,0.010198426922109411,0.011574617135176653,0.0004997501249375312,0.0029985007496251873,0.005911164943992848,-0.008040649488306772,0.03110828506673376,False
RFC,fraction_exposed,0.015216390922187722,0.011766523398762717,0.007587840737111575,0.018622977136266306,0.008454350359264439,0.009610252162493674,0.0004997501249375312,0.0029985007496251873,0.003845429101981599,-0.006337884570774855,0.015991966187891688,False
RFC,nsp_secondary_structure_helix,0.01514888314313867,0.012867811120809897,0.008362145781632439,0.020656015232019494,0.009503668034989296,0.010698656812960481,0.0004997501249375312,0.0029985007496251873,0.0023936146911736522,-0.008826184887715282,0.014309997784904566,False
RFC,frac_aa_c,0.01483832541581074,0.012484372013282832,0.00771025194289931,0.02086716393274659,0.010324930151166688,0.011871024534699832,0.0004997501249375312,0.0029985007496251873,0.005664676663992383,-0.0020148416584515215,0.01846102709742768,False
RFC,frac_aa_r,0.0142564417737136,0.013075723958622597,0.007913051744992485,0.02259278358756746,0.010183814610882103,0.011681669583821318,0.0004997501249375312,0.0029985007496251873,0.005214494940145703,-0.009932512498915547,0.03209747942386832,False
RFC,fraction_exposed_exposed_k,0.014163824348208913,0.0121281841045197,0.008032016364359828,0.019321014062570314,0.009990326250399643,0.01139360197831038,0.0004997501249375312,0.0029985007496251873,0.007823395954303435,-0.010677797285586816,0.02035847492747612,False
RFC,fraction_exposed_exposed_v,0.013886772996905527,0.012424091812820826,0.008004211854662142,0.021352802646529345,0.011016353282914077,0.012597557236106094,0.0069965017491254375,0.022488755622188907,-0.0016472293123115777,-0.016703324225865273,0.005716949854952317,False
RFC,fraction_exposed_nonpolar_total,0.013630475707904672,0.009493177477517961,0.006665025673355405,0.013546877566860861,0.008645365822345796,0.009809360019704836,0.0004997501249375312,0.0029985007496251873,0.0012480500417438856,-0.0046769847616508955,0.00711206245278256,False
RFC,asa_sum,0.01336393841400976,0.012738182453803528,0.008015833256553728,0.02074550379253498,0.009523821914457992,0.010854325157549532,0.0004997501249375312,0.0029985007496251873,0.00154570080290643,-0.005962157467976931,0.011709896751447943,False
RFC,fraction_exposed_exposed_l,0.01334268755576642,0.0121655323041899,0.008249132646756007,0.018095551417717303,0.01028172401120391,0.011707304745056027,0.0024987506246876563,0.011047108024934901,0.002987444690841866,-0.007459016393442719,0.01430798287584971,False
