model,brier,log_loss,mean_predicted,observed_rate,max_abs_gap
"RF, full 84",0.2159057109716372,0.6202335217236006,0.3968710035499236,0.39095744680851063,0.056111623934950616
"RF, parsimonious 6",0.2170902007532223,0.6247251946992584,0.39047690946918034,0.39095744680851063,0.07009711866543958
"Logistic regression, parsimonious 6",0.2387870660914454,0.6709143943861455,0.3931939916296041,0.39095744680851063,0.15595939613886795
