n_features,cv_roc_auc,cv_roc_auc_std
1,0.5322619588042347,0.058473100000929784
2,0.5439169940318425,0.06825202753194994
3,0.5607231256184866,0.04593512151986191
4,0.5702823334537671,0.048892610581372606
5,0.6207564435310301,0.04679571255026594
6,0.6399511801728985,0.03955696154125671
7,0.6448477899542744,0.03849031363719035
8,0.6420952056221161,0.02902200881228247
9,0.642427119497466,0.037805477765987104
10,0.6319348898361925,0.04259445225524974
11,0.6489644284251417,0.03781209097658916
12,0.6414578294467926,0.04976106458108636
13,0.6577650910702291,0.04525204892286652
14,0.647058534619035,0.04977659348185077
15,0.6485875428571519,0.056842828935294736
16,0.6600614285223166,0.05630311117875273
17,0.6590934538306418,0.05418292286347257
18,0.6800281999432041,0.05149780240892815
19,0.676966119761974,0.05242369458188821
20,0.6696504855855869,0.05213871846542106
21,0.6779078814891194,0.05026823350814473
22,0.6800784073927642,0.05750082851053016
23,0.6793011898598994,0.06094311461994916
24,0.6913587835589711,0.04880684426778107
25,0.688640017617195,0.05583254842076515
26,0.6974612693704971,0.054415554192993466
27,0.6863903745151457,0.056485547324431215
28,0.6901803450033294,0.0501021816425017
29,0.6806692779105189,0.04439184678560678
30,0.6908009983109864,0.044340437390553517
31,0.6900160634764188,0.05502634353246962
32,0.6840684969708086,0.043362746079043925
33,0.685933292555572,0.051201761687086025
34,0.6835123566005477,0.05138696217472958
35,0.6834910482280963,0.04480144449688769
36,0.686875526464607,0.04322419170820231
37,0.6872682581997808,0.042583570295859796
38,0.6847424730210492,0.044551680772805025
39,0.6761810434026004,0.03955891185043756
40,0.6806451618690691,0.04376821657413516
41,0.6747649757795051,0.040606161557047396
42,0.6821085114334167,0.04575733928701705
43,0.6847194628896024,0.04330186266674058
44,0.6798986353283384,0.04683999614820928
45,0.6763985814437928,0.044436803835629105
46,0.6758017364272166,0.044887660411838476
47,0.6796534470692454,0.05065928611488739
48,0.6814584288588065,0.045728892530989704
49,0.677263074530135,0.05146931338970357
50,0.674068226878829,0.03682774129568298
51,0.6809171759834987,0.04126584443769843
52,0.6856341749744981,0.04564344165011707
53,0.6788325900896148,0.04701706705424825
54,0.6861806105095372,0.046456448035597654
55,0.6740076526115478,0.05505849459818673
56,0.674845714503773,0.05611882687787941
57,0.6797618498636538,0.03998173281240453
58,0.6818896063770903,0.04301183456618924
59,0.679338645158374,0.04912485668713735
60,0.6762948064525317,0.052237524143116124
61,0.6763384585231174,0.04671322030794388
62,0.676063433488884,0.049220910045992224
63,0.6795485362653924,0.057394442975753454
64,0.669962441086141,0.05182999576081594
65,0.6792736572773976,0.045061027808459046
66,0.6763481304072172,0.05131063862465625
67,0.6758142725799445,0.05068384686102474
68,0.6797245404391957,0.04848210844951591
69,0.681784821214986,0.05084367912690612
70,0.6762044144209364,0.047073623615500805
71,0.6758690717435141,0.05445246893643786
72,0.6752235069121976,0.04851366102948397
73,0.6786388087675472,0.05380152008857942
74,0.6778847005226291,0.04799105850902531
75,0.6813548357231973,0.04728428711189922
76,0.6734845017150978,0.05261537248883488
77,0.6752539781158475,0.052444325616435576
78,0.6750830396642287,0.04521063579272628
79,0.6783687163835024,0.055595628273792885
80,0.6843638236370478,0.045817041728247146
81,0.6640405601962042,0.06325587577293146
82,0.6853687869458536,0.05169955091872902
83,0.6813592885216655,0.05020133098299274
84,0.6810701037024361,0.047124459055284146
