scheme,feature_set,n_folds,n_scored,r2_log1p,mae_log1p,rmse_raw,spearman_raw,roc_auc,bal_acc,k
by protein,serum only (1),10,6768,0.4059450086862413,0.09433115149791069,1.5270635442356602,0.21166544120571845,0.45430030333336635,0.5243013265471157,1
by protein,nanoparticle only (12),10,6768,-0.0027766917380049883,0.15090740926914184,1.9679363998998605,0.04253529580550387,0.5435120271624742,0.5,12
by protein,experimental only (3),10,6768,-0.0024753816421043684,0.15104909967408,1.9678422200103018,0.003562594573714683,0.4565831885614238,0.5,3
by protein,protein only (68),10,6768,-0.22111192646605615,0.15707702032559465,2.0377366538500645,0.24192632041522963,0.6055378968666554,0.5557981562348375,68
by protein,serum + nanoparticle (13),10,6768,0.42021830032069196,0.09141063210233832,1.515962343092847,0.4053429651299063,0.580459991425542,0.549948509243581,13
by protein,protein + serum (69),10,6768,0.3853424059043673,0.09508680953481492,1.81582939617494,0.4714239511741363,0.631832839880251,0.5724946941416061,69
by protein,all except serum (83),10,6768,-0.25211051054270883,0.15744430069572807,2.052705949128799,0.2553415517543776,0.6638774006556637,0.5834084240197777,83
by protein,full (84),10,6768,0.40088312333200227,0.09347299786335311,1.7965201418845194,0.5017309757861698,0.6768904607505841,0.5883487310499164,84
by protein,parsimonious (6),10,6768,0.4240723079025218,0.09201776720445855,1.7388349543314299,0.48479805420374766,0.668345434027835,0.6119090528011302,6
by nanoparticle,serum only (1),11,6768,0.7467450126421651,0.05865858941349785,0.9692545956782819,0.39578029407804705,0.6241078969730111,0.6217649116900521,1
by nanoparticle,nanoparticle only (12),11,6768,0.0003161226113076454,0.15081132069330633,1.9673351240293597,0.039712502457055994,0.5288373907976043,0.5,12
by nanoparticle,experimental only (3),11,6768,0.00025179723624391137,0.15158399057202326,1.9672416291116188,-0.03090381437515386,0.4770404037403414,0.5,3
by nanoparticle,protein only (68),11,6768,0.7493424847296071,0.05576226366687764,0.9692455506204887,0.6798677276454985,0.811487169669744,0.7288607340073341,68
by nanoparticle,serum + nanoparticle (13),11,6768,0.7753321842254073,0.057926090679680194,0.904849034054252,0.464677357326583,0.6345637020240195,0.5870853921384177,13
by nanoparticle,protein + serum (69),11,6768,0.7492391099461619,0.05573078650419262,0.9689823286552859,0.6813629507045779,0.8119503664315476,0.7289960622774097,69
by nanoparticle,all except serum (83),11,6768,0.8117495605708059,0.04710471608443827,0.8872847475266694,0.7114751132532546,0.864085995064369,0.778048434317929,83
by nanoparticle,full (84),11,6768,0.8131574866396346,0.04667812319221112,0.8864790836389328,0.7293711340450391,0.8615467104411444,0.7746751296345806,84
by nanoparticle,parsimonious (6),11,6768,0.8185699296166395,0.046144879700479605,0.9237358714000604,0.7385640603132031,0.8742918645705087,0.7968937210983374,6
