set,K,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
full,84,0.6768904607505841,0.6555851063829787,0.5883487310499164,0.6349614395886889,0.2800453514739229,0.3886703383162864
rfecv,26,0.7131316190285485,0.6870567375886525,0.6304927599375509,0.6838440111420613,0.3711262282690854,0.48113669769720724
parsimonious,7,0.6742776899427625,0.6648936170212766,0.6164252212287147,0.610655737704918,0.3941798941798942,0.4790996784565916
