model,feature_higher,feature_lower,observed_diff,p_two_sided,p_bh,ordering_resolved
RFR,abundance_controls,frac_aa_n,0.6663350510931578,0.0,0.0,True
RFR,abundance_controls,frac_aa_m,0.6671711256011615,0.0,0.0,True
RFR,abundance_controls,fraction_exposed_exposed_c,0.6671788812699372,0.0,0.0,True
RFR,abundance_controls,fraction_exposed_exposed_y,0.6671932216230286,0.0,0.0,True
RFR,abundance_controls,fraction_exposed_exposed_r,0.6672708550741285,0.0,0.0,True
RFR,abundance_controls,ligand_pei,0.6673279723547567,0.0,0.0,True
RFR,abundance_controls,rsa_std,0.6673325367706189,0.0,0.0,True
RFR,abundance_controls,fraction_exposed_exposed_w,0.6676182171988638,0.0,0.0,True
RFR,abundance_controls,dtem,0.6677736889483308,0.0,0.0,True
RFR,abundance_controls,fraction_exposed_exposed_a,0.6680987160251227,0.0,0.0,True
RFR,abundance_controls,frac_aa_h,0.668185962859786,0.0,0.0,True
RFR,abundance_controls,fraction_exposed_exposed_n,0.6682295509626851,0.0,0.0,True
RFR,abundance_controls,instability_index,0.6684112849043418,0.0,0.0,True
RFR,zeta_potential,nsp_secondary_structure_coil,0.0039125032635798675,0.036,0.18486486486486486,False
RFR,zeta_potential,nsp_secondary_structure_helix,0.005509180216112828,0.044,0.21999999999999997,False
RFR,zeta_potential,dh_functionalized,0.008490761128092241,0.048,0.23384615384615384,False
RFR,zeta_potential,frac_aa_r,0.012920248566291516,0.064,0.27636363636363637,False
RFR,zeta_potential,incubation_concentration_mg_per_ml,0.015358126997671879,0.004,0.030400000000000003,True
RFR,zeta_potential,frac_aa_n,0.015789406359672378,0.024,0.14250000000000002,False
RFR,zeta_potential,frac_aa_m,0.016625480867676005,0.032,0.17882352941176471,False
RFR,zeta_potential,fraction_exposed_exposed_c,0.01663323653645167,0.004,0.030400000000000003,True
RFR,zeta_potential,fraction_exposed_exposed_y,0.016647576889543166,0.012,0.08142857142857143,False
RFR,zeta_potential,fraction_exposed_exposed_r,0.016725210340642997,0.076,0.3139130434782609,False
RFR,zeta_potential,ligand_pei,0.016782327621271215,0.0,0.0,True
RFR,zeta_potential,rsa_std,0.01678689203713341,0.004,0.030400000000000003,True
RFR,zeta_potential,fraction_exposed_exposed_w,0.01707257246537829,0.012,0.08142857142857143,False
RFR,zeta_potential,dtem,0.01722804421484532,0.0,0.0,True
RFR,zeta_potential,fraction_exposed_exposed_a,0.017553071291637228,0.024,0.14250000000000002,False
RFR,zeta_potential,frac_aa_h,0.017640318126300503,0.016,0.10482758620689656,False
RFR,zeta_potential,fraction_exposed_exposed_n,0.017683906229199596,0.008,0.05846153846153846,False
RFR,zeta_potential,instability_index,0.017865640170856234,0.028,0.1612121212121212,False
RFR,nsp_secondary_structure_coil,nsp_secondary_structure_helix,0.0015966769525329605,1.0,1.0,False
RFR,nsp_secondary_structure_coil,dh_functionalized,0.004578257864512374,1.0,1.0,False
RFR,nsp_secondary_structure_coil,frac_aa_r,0.009007745302711648,1.0,1.0,False
RFR,nsp_secondary_structure_coil,incubation_concentration_mg_per_ml,0.011445623734092011,1.0,1.0,False
RFR,nsp_secondary_structure_coil,frac_aa_n,0.01187690309609251,1.0,1.0,False
RFR,nsp_secondary_structure_coil,frac_aa_m,0.01271297760409614,1.0,1.0,False
RFR,nsp_secondary_structure_coil,fraction_exposed_exposed_c,0.012720733272871803,0.968,1.0,False
RFR,nsp_secondary_structure_coil,fraction_exposed_exposed_y,0.0127350736259633,0.996,1.0,False
RFR,nsp_secondary_structure_coil,fraction_exposed_exposed_r,0.012812707077063128,1.0,1.0,False
RFR,nsp_secondary_structure_coil,ligand_pei,0.012869824357691345,1.0,1.0,False
RFR,nsp_secondary_structure_coil,rsa_std,0.012874388773553541,0.888,1.0,False
RFR,nsp_secondary_structure_coil,fraction_exposed_exposed_w,0.013160069201798422,0.864,1.0,False
RFR,nsp_secondary_structure_coil,dtem,0.013315540951265453,1.0,1.0,False
RFR,nsp_secondary_structure_coil,fraction_exposed_exposed_a,0.01364056802805736,0.908,1.0,False
RFR,nsp_secondary_structure_coil,frac_aa_h,0.013727814862720636,0.968,1.0,False
RFR,nsp_secondary_structure_coil,fraction_exposed_exposed_n,0.013771402965619729,0.972,1.0,False
RFR,nsp_secondary_structure_coil,instability_index,0.013953136907276367,1.0,1.0,False
RFR,nsp_secondary_structure_helix,dh_functionalized,0.002981580911979413,1.0,1.0,False
RFR,nsp_secondary_structure_helix,frac_aa_r,0.007411068350178688,1.0,1.0,False
RFR,nsp_secondary_structure_helix,incubation_concentration_mg_per_ml,0.009848946781559051,1.0,1.0,False
RFR,nsp_secondary_structure_helix,frac_aa_n,0.01028022614355955,1.0,1.0,False
RFR,nsp_secondary_structure_helix,frac_aa_m,0.01111630065156318,1.0,1.0,False
RFR,nsp_secondary_structure_helix,fraction_exposed_exposed_c,0.011124056320338842,0.888,1.0,False
RFR,nsp_secondary_structure_helix,fraction_exposed_exposed_y,0.01113839667343034,0.9,1.0,False
RFR,nsp_secondary_structure_helix,fraction_exposed_exposed_r,0.011216030124530168,1.0,1.0,False
RFR,nsp_secondary_structure_helix,ligand_pei,0.011273147405158385,1.0,1.0,False
RFR,nsp_secondary_structure_helix,rsa_std,0.01127771182102058,0.812,1.0,False
RFR,nsp_secondary_structure_helix,fraction_exposed_exposed_w,0.011563392249265461,0.688,1.0,False
RFR,nsp_secondary_structure_helix,dtem,0.011718863998732492,1.0,1.0,False
RFR,nsp_secondary_structure_helix,fraction_exposed_exposed_a,0.0120438910755244,0.848,1.0,False
RFR,nsp_secondary_structure_helix,frac_aa_h,0.012131137910187675,0.876,1.0,False
RFR,nsp_secondary_structure_helix,fraction_exposed_exposed_n,0.012174726013086768,0.836,1.0,False
RFR,nsp_secondary_structure_helix,instability_index,0.012356459954743406,0.956,1.0,False
RFR,dh_functionalized,frac_aa_r,0.004429487438199275,0.212,0.629375,False
RFR,dh_functionalized,incubation_concentration_mg_per_ml,0.006867365869579638,0.348,0.8917333333333333,False
RFR,dh_functionalized,frac_aa_n,0.0072986452315801364,0.092,0.35673469387755097,False
RFR,dh_functionalized,frac_aa_m,0.008134719739583766,0.1,0.37254901960784315,False
RFR,dh_functionalized,fraction_exposed_exposed_c,0.00814247540835943,0.036,0.18486486486486486,False
RFR,dh_functionalized,fraction_exposed_exposed_y,0.008156815761450926,0.088,0.3557446808510638,False
RFR,dh_functionalized,fraction_exposed_exposed_r,0.008234449212550754,0.168,0.532,False
RFR,dh_functionalized,ligand_pei,0.008291566493178972,0.14,0.46666666666666673,False
RFR,dh_functionalized,rsa_std,0.008296130909041168,0.036,0.18486486486486486,False
RFR,dh_functionalized,fraction_exposed_exposed_w,0.008581811337286048,0.052,0.24097560975609755,False
RFR,dh_functionalized,dtem,0.008737283086753079,0.0,0.0,True
RFR,dh_functionalized,fraction_exposed_exposed_a,0.009062310163544987,0.052,0.24097560975609755,False
RFR,dh_functionalized,frac_aa_h,0.009149556998208262,0.064,0.27636363636363637,False
RFR,dh_functionalized,fraction_exposed_exposed_n,0.009193145101107355,0.064,0.27636363636363637,False
RFR,dh_functionalized,instability_index,0.009374879042763993,0.068,0.28711111111111115,False
RFR,frac_aa_r,incubation_concentration_mg_per_ml,0.002437878431380363,1.0,1.0,False
RFR,frac_aa_r,frac_aa_n,0.0028691577933808617,1.0,1.0,False
RFR,frac_aa_r,frac_aa_m,0.0037052323013844913,1.0,1.0,False
RFR,frac_aa_r,fraction_exposed_exposed_c,0.0037129879701601554,0.888,1.0,False
RFR,frac_aa_r,fraction_exposed_exposed_y,0.0037273283232516514,0.92,1.0,False
RFR,frac_aa_r,fraction_exposed_exposed_r,0.0038049617743514796,1.0,1.0,False
RFR,frac_aa_r,ligand_pei,0.003862079054979697,1.0,1.0,False
RFR,frac_aa_r,rsa_std,0.0038666434708418927,0.776,1.0,False
RFR,frac_aa_r,fraction_exposed_exposed_w,0.004152323899086773,0.744,1.0,False
RFR,frac_aa_r,dtem,0.004307795648553804,1.0,1.0,False
RFR,frac_aa_r,fraction_exposed_exposed_a,0.004632822725345711,0.844,1.0,False
RFR,frac_aa_r,frac_aa_h,0.004720069560008987,0.84,1.0,False
RFR,frac_aa_r,fraction_exposed_exposed_n,0.004763657662908081,0.84,1.0,False
RFR,frac_aa_r,instability_index,0.004945391604564717,0.944,1.0,False
RFR,incubation_concentration_mg_per_ml,frac_aa_n,0.0004312793620004987,0.156,0.5023728813559322,False
RFR,incubation_concentration_mg_per_ml,frac_aa_m,0.0012673538700041283,0.18,0.5606557377049181,False
RFR,incubation_concentration_mg_per_ml,fraction_exposed_exposed_c,0.0012751095387797924,0.116,0.4007272727272727,False
RFR,incubation_concentration_mg_per_ml,fraction_exposed_exposed_y,0.0012894498918712884,0.156,0.5023728813559322,False
RFR,incubation_concentration_mg_per_ml,fraction_exposed_exposed_r,0.0013670833429711166,0.292,0.7704109589041096,False
RFR,incubation_concentration_mg_per_ml,ligand_pei,0.001424200623599334,0.352,0.8917333333333333,False
RFR,incubation_concentration_mg_per_ml,rsa_std,0.0014287650394615298,0.108,0.38716981132075473,False
RFR,incubation_concentration_mg_per_ml,fraction_exposed_exposed_w,0.0017144454677064103,0.1,0.37254901960784315,False
RFR,incubation_concentration_mg_per_ml,dtem,0.0018699172171734411,0.024,0.14250000000000002,False
RFR,incubation_concentration_mg_per_ml,fraction_exposed_exposed_a,0.0021949442939653485,0.112,0.3940740740740741,False
RFR,incubation_concentration_mg_per_ml,frac_aa_h,0.0022821911286286236,0.092,0.35673469387755097,False
RFR,incubation_concentration_mg_per_ml,fraction_exposed_exposed_n,0.002325779231527718,0.108,0.38716981132075473,False
RFR,incubation_concentration_mg_per_ml,instability_index,0.0025075131731843543,0.128,0.43428571428571433,False
RFR,frac_aa_n,frac_aa_m,0.0008360745080036296,1.0,1.0,False
RFR,frac_aa_n,fraction_exposed_exposed_c,0.0008438301767792937,0.88,1.0,False
RFR,frac_aa_n,fraction_exposed_exposed_y,0.0008581705298707897,0.916,1.0,False
RFR,frac_aa_n,fraction_exposed_exposed_r,0.0009358039809706179,1.0,1.0,False
RFR,frac_aa_n,ligand_pei,0.0009929212615988354,1.0,1.0,False
RFR,frac_aa_n,rsa_std,0.000997485677461031,0.76,1.0,False
RFR,frac_aa_n,fraction_exposed_exposed_w,0.0012831661057059116,0.672,1.0,False
RFR,frac_aa_n,dtem,0.0014386378551729424,1.0,1.0,False
RFR,frac_aa_n,fraction_exposed_exposed_a,0.0017636649319648498,0.836,1.0,False
RFR,frac_aa_n,frac_aa_h,0.001850911766628125,0.856,1.0,False
RFR,frac_aa_n,fraction_exposed_exposed_n,0.0018944998695272193,0.752,1.0,False
RFR,frac_aa_n,instability_index,0.0020762338111838556,0.98,1.0,False
RFR,frac_aa_m,fraction_exposed_exposed_c,7.755668775664103e-06,0.808,1.0,False
RFR,frac_aa_m,fraction_exposed_exposed_y,2.2096021867160087e-05,0.84,1.0,False
RFR,frac_aa_m,fraction_exposed_exposed_r,9.972947296698828e-05,1.0,1.0,False
RFR,frac_aa_m,ligand_pei,0.00015684675359520575,1.0,1.0,False
RFR,frac_aa_m,rsa_std,0.00016141116945740143,0.692,1.0,False
RFR,frac_aa_m,fraction_exposed_exposed_w,0.0004470915977022819,0.664,1.0,False
RFR,frac_aa_m,dtem,0.0006025633471693128,1.0,1.0,False
RFR,frac_aa_m,fraction_exposed_exposed_a,0.0009275904239612201,0.768,1.0,False
RFR,frac_aa_m,frac_aa_h,0.0010148372586244953,0.764,1.0,False
RFR,frac_aa_m,fraction_exposed_exposed_n,0.0010584253615235897,0.776,1.0,False
RFR,frac_aa_m,instability_index,0.001240159303180226,0.86,1.0,False
RFR,fraction_exposed_exposed_c,fraction_exposed_exposed_y,1.4340353091495985e-05,1.0,1.0,False
RFR,fraction_exposed_exposed_c,fraction_exposed_exposed_r,9.197380419132418e-05,1.0,1.0,False
RFR,fraction_exposed_exposed_c,ligand_pei,0.00014909108481954165,1.0,1.0,False
RFR,fraction_exposed_exposed_c,rsa_std,0.00015365550068173733,0.864,1.0,False
RFR,fraction_exposed_exposed_c,fraction_exposed_exposed_w,0.0004393359289266178,0.792,1.0,False
RFR,fraction_exposed_exposed_c,dtem,0.0005948076783936487,1.0,1.0,False
RFR,fraction_exposed_exposed_c,fraction_exposed_exposed_a,0.000919834755185556,0.932,1.0,False
RFR,fraction_exposed_exposed_c,frac_aa_h,0.0010070815898488312,0.944,1.0,False
RFR,fraction_exposed_exposed_c,fraction_exposed_exposed_n,0.0010506696927479256,0.928,1.0,False
RFR,fraction_exposed_exposed_c,instability_index,0.0012324036344045618,1.0,1.0,False
RFR,fraction_exposed_exposed_y,fraction_exposed_exposed_r,7.76334510998282e-05,1.0,1.0,False
RFR,fraction_exposed_exposed_y,ligand_pei,0.00013475073172804566,1.0,1.0,False
RFR,fraction_exposed_exposed_y,rsa_std,0.00013931514759024134,0.876,1.0,False
RFR,fraction_exposed_exposed_y,fraction_exposed_exposed_w,0.00042499557583512183,0.836,1.0,False
RFR,fraction_exposed_exposed_y,dtem,0.0005804673253021527,1.0,1.0,False
RFR,fraction_exposed_exposed_y,fraction_exposed_exposed_a,0.00090549440209406,0.912,1.0,False
RFR,fraction_exposed_exposed_y,frac_aa_h,0.0009927412367573352,0.968,1.0,False
RFR,fraction_exposed_exposed_y,fraction_exposed_exposed_n,0.0010363293396564296,0.972,1.0,False
RFR,fraction_exposed_exposed_y,instability_index,0.0012180632813130659,1.0,1.0,False
RFR,fraction_exposed_exposed_r,ligand_pei,5.711728062821747e-05,1.0,1.0,False
RFR,fraction_exposed_exposed_r,rsa_std,6.168169649041315e-05,0.652,1.0,False
RFR,fraction_exposed_exposed_r,fraction_exposed_exposed_w,0.00034736212473529364,0.608,1.0,False
RFR,fraction_exposed_exposed_r,dtem,0.0005028338742023245,1.0,1.0,False
RFR,fraction_exposed_exposed_r,fraction_exposed_exposed_a,0.0008278609509942319,0.692,1.0,False
RFR,fraction_exposed_exposed_r,frac_aa_h,0.000915107785657507,0.712,1.0,False
RFR,fraction_exposed_exposed_r,fraction_exposed_exposed_n,0.0009586958885566014,0.74,1.0,False
RFR,fraction_exposed_exposed_r,instability_index,0.0011404298302132377,0.768,1.0,False
RFR,ligand_pei,rsa_std,4.564415862195678e-06,0.192,0.5883870967741935,False
RFR,ligand_pei,fraction_exposed_exposed_w,0.00029024484410707617,0.228,0.6465671641791045,False
RFR,ligand_pei,dtem,0.00044571659357410705,0.776,1.0,False
RFR,ligand_pei,fraction_exposed_exposed_a,0.0007707436703660144,0.228,0.6465671641791045,False
RFR,ligand_pei,frac_aa_h,0.0008579905050292895,0.24,0.6705882352941176,False
RFR,ligand_pei,fraction_exposed_exposed_n,0.000901578607928384,0.216,0.6313846153846153,False
RFR,ligand_pei,instability_index,0.0010833125495850202,0.244,0.6718840579710145,False
RFR,rsa_std,fraction_exposed_exposed_w,0.0002856804282448805,0.94,1.0,False
RFR,rsa_std,dtem,0.00044115217771191137,1.0,1.0,False
RFR,rsa_std,fraction_exposed_exposed_a,0.0007661792545038187,1.0,1.0,False
RFR,rsa_std,frac_aa_h,0.0008534260891670939,1.0,1.0,False
RFR,rsa_std,fraction_exposed_exposed_n,0.0008970141920661883,1.0,1.0,False
RFR,rsa_std,instability_index,0.0010787481337228245,1.0,1.0,False
RFR,fraction_exposed_exposed_w,dtem,0.00015547174946703088,1.0,1.0,False
RFR,fraction_exposed_exposed_w,fraction_exposed_exposed_a,0.0004804988262589382,1.0,1.0,False
RFR,fraction_exposed_exposed_w,frac_aa_h,0.0005677456609222134,1.0,1.0,False
RFR,fraction_exposed_exposed_w,fraction_exposed_exposed_n,0.0006113337638213078,1.0,1.0,False
RFR,fraction_exposed_exposed_w,instability_index,0.000793067705477944,1.0,1.0,False
RFR,dtem,fraction_exposed_exposed_a,0.00032502707679190734,0.272,0.7382857142857144,False
RFR,dtem,frac_aa_h,0.0004122739114551825,0.204,0.6152380952380953,False
RFR,dtem,fraction_exposed_exposed_n,0.0004558620143542769,0.284,0.7599999999999999,False
RFR,dtem,instability_index,0.0006375959560109131,0.296,0.7704109589041096,False
RFR,fraction_exposed_exposed_a,frac_aa_h,8.724683466327515e-05,1.0,1.0,False
RFR,fraction_exposed_exposed_a,fraction_exposed_exposed_n,0.00013083493756236957,1.0,1.0,False
RFR,fraction_exposed_exposed_a,instability_index,0.0003125688792190058,1.0,1.0,False
RFR,frac_aa_h,fraction_exposed_exposed_n,4.3588102899094414e-05,0.98,1.0,False
RFR,frac_aa_h,instability_index,0.00022532204455573066,1.0,1.0,False
RFR,fraction_exposed_exposed_n,instability_index,0.00018173394165663624,1.0,1.0,False
