model,feature_higher,feature_lower,observed_diff,p_two_sided,p_bh,ordering_resolved
RFC,dh_functionalized,fraction_exposed_nonpolar_total,0.01163021932805429,0.0,0.0,True
RFC,dh_functionalized,asa_sum,0.011896756621949202,0.0,0.0,True
RFC,dh_functionalized,fraction_exposed_exposed_l,0.011918007480192542,0.0,0.0,True
RFC,dh_functionalized,fraction_exposed_exposed_r,0.012287472076433227,0.0,0.0,True
RFC,dh_functionalized,frac_aa_i,0.012328391812886972,0.0,0.0,True
RFC,dh_functionalized,frac_aa_p,0.012333936348812715,0.0,0.0,True
RFC,dh_functionalized,frac_aa_s,0.012742000756652135,0.0,0.0,True
RFC,secondary_structure_fraction_sheet,ligand_pei,0.0003814781702838922,1.0,1.0,False
RFC,secondary_structure_fraction_sheet,dtem,0.00653251139556963,1.0,1.0,False
RFC,secondary_structure_fraction_sheet,frac_aa_a,0.008600292903386769,0.508,0.8774545454545454,False
RFC,secondary_structure_fraction_sheet,fraction_exposed,0.008742462288432309,0.212,0.5754285714285714,False
RFC,secondary_structure_fraction_sheet,nsp_secondary_structure_helix,0.008809970067481361,0.292,0.6527058823529411,False
