set,K,roc_auc,accuracy,balanced_accuracy,precision,recall,f1
full_84,84,0.6768904607505841,0.6555851063829787,0.5883487310499164,0.6349614395886889,0.2800453514739229,0.3886703383162864
parsi_7,7,0.6742776899427625,0.6648936170212766,0.6164252212287147,0.610655737704918,0.3941798941798942,0.4790996784565916
parsi_6,6,0.668345434027835,0.6597222222222222,0.6119090528011302,0.5988472622478386,0.3926681783824641,0.4743209312942251
