abundance_controls,length,mass,frac_aa_a,frac_aa_c,frac_aa_d,frac_aa_e,frac_aa_f,frac_aa_g,frac_aa_h,frac_aa_i,frac_aa_k,frac_aa_l,frac_aa_m,frac_aa_n,frac_aa_p,frac_aa_q,frac_aa_r,frac_aa_s,frac_aa_t,frac_aa_v,frac_aa_w,frac_aa_y,molecular_weight,aromaticity,instability_index,flexibility_mean,flexibility_std,flexibility_max,flexibility_min,isoelectric_point,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,secondary_structure_fraction_disordered,gravy,fraction_exposed,fraction_buried,fraction_exposed_nonpolar_total,fraction_exposed_nonpolar_exposed,fraction_exposed_polar_total,fraction_exposed_polar_exposed,rsa_mean,rsa_std,asa_sum,fraction_exposed_exposed_a,fraction_exposed_exposed_c,fraction_exposed_exposed_d,fraction_exposed_exposed_e,fraction_exposed_exposed_f,fraction_exposed_exposed_g,fraction_exposed_exposed_h,fraction_exposed_exposed_i,fraction_exposed_exposed_k,fraction_exposed_exposed_l,fraction_exposed_exposed_m,fraction_exposed_exposed_n,fraction_exposed_exposed_p,fraction_exposed_exposed_q,fraction_exposed_exposed_r,fraction_exposed_exposed_s,fraction_exposed_exposed_t,fraction_exposed_exposed_v,fraction_exposed_exposed_w,fraction_exposed_exposed_y,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,nsp_secondary_structure_helix,nsp_disordered,zeta_potential,core_ps,core_iron_oxide,core_iron_oxide_au,ligand_carboxylate,ligand_peg_two_k,ligand_citrate,ligand_pei,ligand_pvp,ligand_peg_five_k,dtem,dh_functionalized,centrifuged,np_incubation_concentration_mg_per_ml,incubation_concentration_mg_per_ml
-11.473305514975355,201.0,22393.0,0.0845771144278607,0.004975124378109453,0.03980099502487562,0.0845771144278607,0.03482587064676617,0.06965174129353234,0.02487562189054726,0.02985074626865672,0.03482587064676617,0.0845771144278607,0.004975124378109453,0.01492537313432836,0.0945273631840796,0.04975124378109453,0.07462686567164178,0.0945273631840796,0.05970149253731343,0.05970149253731343,0.02985074626865672,0.02487562189054726,22392.76489999999,0.08955223880597016,61.44925373134327,1.004067522321429,0.02410543421720364,1.068035714285714,0.951547619047619,5.978802680969238,0.263681592039801,0.2736318407960199,0.2587064676616916,0.2039800995024875,-0.5905472636815922,0.851,0.149,0.3781094527363184,0.4444444444444444,0.6218905472636815,0.5555555555555556,0.499,0.215,19219.236,0.0935672514619883,0.005847953216374269,0.04678362573099415,0.09941520467836257,0.02923976608187134,0.07017543859649122,0.02339181286549707,0.01754385964912281,0.04093567251461988,0.07017543859649122,0.005847953216374269,0.01754385964912281,0.1111111111111111,0.05847953216374269,0.08187134502923976,0.1052631578947368,0.05263157894736842,0.01754385964912281,0.02923976608187134,0.02339181286549707,0.711,0.259,0.03,0.468,-63.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,221.0,1.0,4.0,40.0
-10.135603612562901,259.0,27878.0,0.09652509652509653,0.03474903474903475,0.05791505791505792,0.04247104247104247,0.003861003861003861,0.09652509652509653,0.04247104247104247,0.03088803088803089,0.03088803088803089,0.1196911196911197,0.02316602316602316,0.01544401544401544,0.05019305019305019,0.03861003861003861,0.07335907335907337,0.06563706563706563,0.04633204633204633,0.09652509652509653,0.01544401544401544,0.0193050193050193,27877.77310000001,0.03861003861003861,38.68880308880308,0.994089,0.02586850014054819,1.055440476190476,0.9346785714285715,7.639524269104004,0.2857142857142857,0.2277992277992278,0.2818532818532818,0.2046332046332047,-0.05521235521235516,0.568,0.432,0.250965250965251,0.4421768707482993,0.749034749034749,0.5578231292517006,0.353,0.264,17118.932,0.09523809523809523,0.006802721088435374,0.08163265306122448,0.06122448979591837,0.0,0.108843537414966,0.04081632653061224,0.01360544217687075,0.05442176870748299,0.09523809523809523,0.006802721088435374,0.02040816326530612,0.06802721088435375,0.05442176870748299,0.1020408163265306,0.07482993197278912,0.06122448979591837,0.04761904761904762,0.006802721088435374,0.0,0.622,0.297,0.081,0.1,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0,266.0,1.0,2.4,40.0
-11.473305514975355,341.0,38895.0,0.07331378299120235,0.0967741935483871,0.02932551319648094,0.07624633431085044,0.05865102639296188,0.06744868035190615,0.05571847507331378,0.02639296187683285,0.07624633431085044,0.08211143695014662,0.02052785923753666,0.0469208211143695,0.0469208211143695,0.02639296187683285,0.06158357771260997,0.03812316715542522,0.02052785923753666,0.05571847507331378,0.008797653958944282,0.03225806451612903,38894.80550000005,0.09970674486803519,39.33170087976539,0.9932228557085485,0.02710032674232699,1.064892857142857,0.9261547619047619,8.559161186218265,0.2639296187683284,0.1994134897360704,0.2521994134897361,0.2844574780058651,-0.3337243401759535,0.625,0.375,0.2434017595307918,0.3896713615023474,0.7565982404692082,0.6103286384976526,0.363,0.233,24229.418,0.07042253521126761,0.0,0.04225352112676056,0.1220657276995305,0.0187793427230047,0.1032863849765258,0.03755868544600939,0.009389671361502348,0.1173708920187793,0.07981220657276995,0.0187793427230047,0.07042253521126761,0.06572769953051644,0.04225352112676056,0.09859154929577464,0.04694835680751173,0.02816901408450704,0.02347417840375587,0.0,0.004694835680751174,0.578,0.243,0.179,0.059,-63.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,221.0,1.0,4.0,4.0
-11.473305514975355,167.0,18450.0,0.05389221556886228,0.04790419161676647,0.02994011976047904,0.02395209580838323,0.01796407185628742,0.04191616766467066,0.03592814371257485,0.01796407185628742,0.07784431137724551,0.1017964071856287,0.03592814371257485,0.05389221556886228,0.07784431137724551,0.04790419161676647,0.04790419161676647,0.1137724550898204,0.05389221556886228,0.08383233532934131,0.0,0.03592814371257485,18450.25399999999,0.05389221556886227,56.83053892215568,1.001522227245329,0.02747192830014771,1.056619047619048,0.9343333333333335,9.529281425476075,0.2574850299401198,0.2874251497005988,0.2155688622754491,0.2395209580838323,-0.3407185628742516,0.85,0.15,0.3532934131736527,0.4154929577464789,0.6467065868263473,0.5845070422535211,0.49,0.201,15602.235,0.04929577464788732,0.0,0.0352112676056338,0.02816901408450704,0.01408450704225352,0.04929577464788732,0.04225352112676056,0.0,0.08450704225352113,0.1197183098591549,0.02112676056338028,0.06338028169014084,0.09154929577464789,0.05633802816901409,0.05633802816901409,0.1267605633802817,0.04929577464788732,0.07042253521126761,0.0,0.04225352112676056,0.689,0.263,0.048,0.365,-42.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,151.0,0.0,5.0,40.0
-11.473305514975355,700.0,79935.0,0.06571428571428571,0.02,0.07428571428571429,0.09,0.05571428571428572,0.07285714285714286,0.01428571428571429,0.06714285714285714,0.05571428571428572,0.09428571428571429,0.01714285714285714,0.03571428571428571,0.03285714285714286,0.04142857142857143,0.06,0.05714285714285714,0.05285714285714286,0.04142857142857143,0.02285714285714286,0.02857142857142857,79934.31260000044,0.1071428571428572,41.07501428571436,1.002355592309283,0.02675968188917431,1.079464285714286,0.9292619047619046,4.858904075622559,0.31,0.1985714285714285,0.2671428571428571,0.2242857142857143,-0.4088571428571419,0.504,0.496,0.1457142857142857,0.2889518413597734,0.8542857142857143,0.7110481586402266,0.303,0.238,41781.036,0.06515580736543909,0.0028328611898017,0.1189801699716714,0.141643059490085,0.0056657223796034,0.0764872521246459,0.0113314447592068,0.0339943342776204,0.09915014164305949,0.0339943342776204,0.0084985835694051,0.04815864022662889,0.0424929178470255,0.05382436260623229,0.08781869688385269,0.0679886685552408,0.0594900849858357,0.0169971671388102,0.0056657223796034,0.0198300283286119,0.486,0.207,0.307,0.01,-63.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,221.0,1.0,4.0,40.0
-2.392051863294559,476.0,51424.0,0.09453781512605042,0.006302521008403362,0.03571428571428571,0.04621848739495799,0.04831932773109244,0.06512605042016807,0.02521008403361345,0.01890756302521008,0.03781512605042017,0.1596638655462185,0.01890756302521008,0.03361344537815126,0.06512605042016807,0.04411764705882353,0.03781512605042017,0.09873949579831932,0.06512605042016807,0.07142857142857142,0.01260504201680672,0.01470588235294118,51423.51240000007,0.07563025210084034,38.76724789915968,0.9961977669011931,0.0253457113861036,1.067583333333333,0.9310357142857144,6.466935920715332,0.3256302521008403,0.2626050420168067,0.319327731092437,0.09243697478991597,0.1065126050420165,0.592,0.408,0.2457983193277311,0.4148936170212766,0.7542016806722689,0.5851063829787234,0.354,0.249,30970.776,0.1028368794326241,0.007092198581560284,0.05319148936170213,0.07092198581560284,0.01773049645390071,0.0673758865248227,0.03191489361702127,0.01418439716312057,0.06382978723404255,0.07092198581560284,0.003546099290780142,0.0425531914893617,0.09219858156028368,0.06382978723404255,0.05319148936170213,0.1205673758865248,0.07092198581560284,0.03546099290780142,0.01063829787234043,0.007092198581560284,0.481,0.229,0.29,0.141,-12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,98.0,271.0,0.0,5.0,40.0
-11.473305514975355,473.0,52743.0,0.08879492600422834,0.008456659619450317,0.05708245243128964,0.06976744186046512,0.03171247357293869,0.07188160676532769,0.02748414376321353,0.03594080338266385,0.04439746300211417,0.1247357293868922,0.03382663847780127,0.02748414376321353,0.03171247357293869,0.04439746300211417,0.06765327695560254,0.0824524312896406,0.05496828752642706,0.05708245243128964,0.01902748414376321,0.02114164904862579,52742.46610000015,0.07188160676532769,37.18816067653277,0.9993810036945813,0.02469048968684376,1.062345238095238,0.9367261904761905,6.044792747497559,0.2896405919661733,0.2135306553911205,0.3171247357293869,0.1797040169133193,-0.2801268498942924,0.503,0.497,0.1754756871035941,0.3487394957983193,0.8245243128964059,0.6512605042016807,0.301,0.227,27487.05,0.07563025210084033,0.0,0.07563025210084033,0.1134453781512605,0.008403361344537815,0.1008403361344538,0.02941176470588235,0.004201680672268907,0.07563025210084033,0.05882352941176471,0.02100840336134454,0.03361344537815126,0.05042016806722689,0.07142857142857142,0.09663865546218488,0.08403361344537816,0.05882352941176471,0.02100840336134454,0.008403361344537815,0.01260504201680672,0.357,0.021,0.622,0.034,-49.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,182.0,229.0,0.0,5.0,4.0
-11.473305514975355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.429,0.2345132743362832,0.4108527131782946,0.7654867256637168,0.5891472868217055,0.347,0.248,15057.572,0.06976744186046512,0.007751937984496124,0.04651162790697674,0.1317829457364341,0.0310077519379845,0.1085271317829457,0.02325581395348837,0.01550387596899225,0.09302325581395349,0.05426356589147287,0.02325581395348837,0.03875968992248062,0.07751937984496124,0.03875968992248062,0.06201550387596899,0.06976744186046512,0.04651162790697674,0.02325581395348837,0.007751937984496124,0.0310077519379845,0.544,0.177,0.279,0.142,-63.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.0,221.0,1.0,4.0,4.0
-11.473305514975355,306.0,33783.0,0.08169934640522876,0.02287581699346405,0.02941176470588235,0.0784313725490196,0.03267973856209151,0.08496732026143791,0.03267973856209151,0.0196078431372549,0.04248366013071896,0.1045751633986928,0.01633986928104575,0.02941176470588235,0.07516339869281045,0.05882352941176471,0.05555555555555555,0.06862745098039216,0.06862745098039216,0.05228758169934641,0.0196078431372549,0.0261437908496732,33782.76090000003,0.0784313725490196,57.41666666666665,1.003197851531185,0.02538092275088746,1.057297619047619,0.9430119047619047,6.372185325622559,0.2549019607843138,0.2581699346405228,0.2810457516339869,0.2058823529411765,-0.4833333333333334,0.797,0.203,0.3464052287581699,0.4344262295081967,0.6535947712418301,0.5655737704918032,0.457,0.209,26207.199,0.0942622950819672,0.0,0.03688524590163934,0.0942622950819672,0.02459016393442623,0.0942622950819672,0.03688524590163934,0.01229508196721311,0.05327868852459016,0.06147540983606557,0.01229508196721311,0.03688524590163934,0.08196721311475409,0.06967213114754098,0.06557377049180328,0.0778688524590164,0.0778688524590164,0.04508196721311476,0.00819672131147541,0.01639344262295082,0.65,0.209,0.141,0.435,-7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0,266.0,1.0,2.4,40.0
-11.473305514975355,882.0,97938.0,0.06235827664399093,0.01473922902494331,0.07709750566893424,0.07142857142857142,0.03287981859410431,0.05782312925170068,0.02607709750566893,0.05102040816326531,0.03741496598639456,0.08503401360544217,0.01133786848072562,0.05215419501133787,0.07596371882086168,0.03287981859410431,0.04988662131519275,0.05215419501133787,0.09183673469387756,0.07936507936507936,0.01133786848072562,0.0272108843537415,97936.4541000007,0.07142857142857142,37.49275510204097,1.002515300278187,0.02772810022981318,1.078107142857143,0.9310357142857142,4.75778751373291,0.2868480725623583,0.2380952380952381,0.2301587301587302,0.2448979591836735,-0.4188208616780032,0.707,0.293,0.2619047619047619,0.3701923076923077,0.7380952380952381,0.6298076923076923,0.394,0.228,66390.278,0.05448717948717949,0.01442307692307692,0.08493589743589744,0.09134615384615384,0.01442307692307692,0.0641025641025641,0.03044871794871795,0.02243589743589744,0.05128205128205128,0.05929487179487179,0.008012820512820512,0.05929487179487179,0.09455128205128205,0.04326923076923077,0.06570512820512821,0.0625,0.108974358974359,0.04647435897435898,0.00641025641025641,0.01762820512820513,0.666,0.31,0.025,0.22,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,244.0,609.0,0.0,5.0,40.0
