feature,mean,std,ci_low,ci_high
abundance_controls,0.020325179226144255,0.021942238672207945,-0.026878840901331462,0.0595735057828719
secondary_structure_fraction_sheet,0.01860208058343869,0.013411988971683775,6.750316655119995e-05,0.05043391540272162
zeta_potential,0.016831725533000448,0.009143182423127283,-0.0007134051794707968,0.03160167643643974
ligand_pei,0.010874927769620483,0.006177166785235488,-0.0003412678995616231,0.025221025003453468
nsp_secondary_structure_coil,0.008408988904898764,0.007645867220601018,-0.004556568586821461,0.024297891192628027
fraction_exposed_exposed_k,0.007823395954303435,0.008029905388715886,-0.010677797285586816,0.02035847492747612
frac_aa_a,0.005911164943992848,0.010553602195330252,-0.008040649488306772,0.03110828506673376
frac_aa_c,0.005664676663992383,0.005570852699959257,-0.0020148416584515215,0.01846102709742768
dtem,0.005287487352744765,0.003092186372890017,-0.0010181958962446724,0.010311020036429827
frac_aa_r,0.005214494940145703,0.010478926763668862,-0.009932512498915547,0.03209747942386832
dh_functionalized,0.005026968552087513,0.00372691373034816,-0.0003365496857263006,0.014655603696466795
fraction_buried,0.003919964077098749,0.006472869827937207,-0.009667827712174015,0.014471911707037126
fraction_exposed,0.003845429101981599,0.005665436242858197,-0.006337884570774855,0.015991966187891688
fraction_exposed_exposed_y,0.0038339543879722837,0.003401060021048637,-0.002498223248130599,0.010276001007302788
nsp_secondary_structure_sheet,0.0033238227568758694,0.006718012746733083,-0.014399590163934578,0.013466116214639829
isoelectric_point,0.003165116855831284,0.003260806668689517,-0.0031057770895169534,0.007949364322555457
frac_aa_k,0.0031534448279289884,0.0058496051659995265,-0.0057336777363330566,0.01583630295575409
fraction_exposed_exposed_l,0.002987444690841866,0.005109991287902719,-0.007459016393442719,0.01430798287584971
fraction_exposed_exposed_e,0.0029161458344527168,0.003911692003425123,-0.003379976607572055,0.011727818794810484
molecular_weight,0.002907264192194442,0.005198859009171437,-0.005166109396433411,0.015325092742049587
core_iron_oxide,0.0028837620904039107,0.0029137075238040264,-0.002951970483560276,0.008477690288713811
flexibility_std,0.0025868136382277683,0.0036609719349046024,-0.005162011351997195,0.00870879293785131
rsa_mean,0.0025077408780871447,0.005333779888380504,-0.006434590413040522,0.010389504636918916
fraction_exposed_exposed_r,0.0024858642667926136,0.006543028225280412,-0.00826519507285734,0.014331526648599845
nsp_secondary_structure_helix,0.0023936146911736522,0.006351209456947998,-0.008826184887715282,0.014309997784904566
mass,0.002346295781565928,0.005895375816093912,-0.00933603950364253,0.014349785948123753
ligand_citrate,0.0020255101780753924,0.002428566871425019,-0.002038611727552078,0.006467622142281289
ligand_pvp,0.001977039679284862,0.0015915598303707166,-0.000897630404885788,0.005500797448165706
frac_aa_n,0.0017176829669008065,0.007387171184758966,-0.011707698708440439,0.014323138469480008
fraction_exposed_exposed_w,0.0016493124630594903,0.0031021549885611676,-0.004400618646213966,0.007360330862554722
np_incubation_concentration_mg_per_ml,0.0016364108409814182,0.0016503225489114275,-0.0012097887886131143,0.004992283950617273
asa_sum,0.00154570080290643,0.0042506899171440675,-0.005962157467976931,0.011709896751447943
frac_aa_p,0.0014909013504444846,0.003480963036152848,-0.004718792866941007,0.007773406908050539
fraction_exposed_exposed_s,0.0013969808212404844,0.0055921735348896644,-0.01299707222174074,0.009186930783242175
core_iron_oxide_au,0.0013249403869896837,0.0017521279707553798,-0.0013857374398366235,0.004738095150992085
frac_aa_s,0.0012901347647880557,0.005096901253746486,-0.00581925966078482,0.013852281622691745
fraction_exposed_nonpolar_total,0.0012480500417438856,0.0031116968678975127,-0.0046769847616508955,0.00711206245278256
aromaticity,0.001189120285886609,0.0033039704185852,-0.005438923241648533,0.005984687033313403
core_ps,0.001163104710450832,0.0010853044335730974,-0.00039129182314784903,0.003370108691531248
fraction_exposed_polar_total,0.0011299570395257742,0.004009957132231387,-0.006090391621129396,0.009765303497942416
secondary_structure_fraction_helix,0.0010817077131668063,0.002423858897689256,-0.0033220076004172013,0.005404451832623755
secondary_structure_fraction_turn,0.0010671435242938221,0.003300725142096186,-0.0045677080125253785,0.007829918032786765
centrifuged,0.0010646966597406516,0.0012978950831055527,-0.0013591195001460637,0.0037694616208349655
frac_aa_q,0.0010278864477031291,0.004005742750558578,-0.006417205537133386,0.007428409866848814
rsa_std,0.0009585381432775297,0.003624371299918614,-0.007520491803278784,0.005921923011266664
frac_aa_f,0.0009166734707653956,0.0035286701466373505,-0.004950162805133701,0.008755729035507337
gravy,0.0008856041996052244,0.005617731203891621,-0.008537583399535097,0.01051954732510284
frac_aa_l,0.0008392341584601937,0.0050438678373012176,-0.007458933536566537,0.010021484931644078
fraction_exposed_exposed_p,0.0008123276961893433,0.004775077781945954,-0.008346975507398487,0.00948855373532502
frac_aa_y,0.0007873475582596945,0.004612353091690205,-0.006912849868076454,0.009344165375289416
ligand_peg_two_k,0.0007792018971549686,0.0007374241914983476,-0.0008210299230495572,0.002189372953915815
incubation_concentration_mg_per_ml,0.0007717697910632249,0.0016609802788961707,-0.002611902197881438,0.0035911360343235466
length,0.0006817434696801295,0.004442775381851295,-0.007119770233196187,0.00956945287143777
nsp_disordered,0.0005275991717032969,0.003301545146935741,-0.0059022376180311534,0.006210607459727146
ligand_carboxylate,0.0005120170558078663,0.0009087404378083789,-0.0013008302883398659,0.0024407913988238102
fraction_exposed_exposed_m,0.0004952545153491839,0.004280707702588647,-0.009322721065209922,0.008366406446738783
frac_aa_w,0.000439963614695964,0.0033020851427561803,-0.006247788307155289,0.005826385321036628
frac_aa_h,0.00041944216488761123,0.003494307440005287,-0.005321472598316138,0.006779400654746805
frac_aa_e,0.0003070608116395801,0.0037640419496725395,-0.006227307310777927,0.008571344742232836
secondary_structure_fraction_disordered,0.0003028086597089319,0.003711947436464157,-0.008193120596767554,0.005722169805517126
fraction_exposed_exposed_d,0.00021213548161140737,0.0026568635876554575,-0.00515978577231464,0.005535410080202015
frac_aa_g,0.00017196399798455553,0.004149836710898789,-0.006508768888503785,0.008281498688002771
fraction_exposed_polar_exposed,0.0001492039278475532,0.002617629479165177,-0.0045544615487138505,0.005663687999710503
fraction_exposed_exposed_i,0.00010590532699730426,0.0029573579697123316,-0.00461723298775468,0.0072881995948047545
flexibility_mean,7.387170839184942e-05,0.004875513852462324,-0.008452161545771216,0.007511034333055875
ligand_peg_five_k,6.58739538326436e-05,0.00022912400962965228,-0.00036597228241508903,0.00044676136746944745
frac_aa_d,-7.248012784318637e-05,0.004478305467897429,-0.008305542827930824,0.008422723490466957
fraction_exposed_exposed_q,-0.0001484162300467007,0.0037637853339915644,-0.008492822966507288,0.007701195687565504
frac_aa_t,-0.00026562775730407107,0.003665276704513157,-0.006898272683171053,0.005247974800686499
frac_aa_i,-0.0003588957537299031,0.004548575462535526,-0.009564466343839409,0.006165385692222831
flexibility_min,-0.0004269944857805519,0.003742108071217361,-0.007204306977483396,0.005756829237462498
fraction_exposed_exposed_f,-0.0004552569585343302,0.004051770525929927,-0.007479024231641198,0.007818501371742167
instability_index,-0.0005867455651652586,0.0032027937138606227,-0.007153950315249502,0.004237383591763768
flexibility_max,-0.0007371704491153152,0.005070833921982054,-0.008284111843743175,0.009488395861220548
fraction_exposed_exposed_a,-0.0008395982265312241,0.004157380784068273,-0.008294382366568709,0.006342404017232186
fraction_exposed_exposed_n,-0.0010906429696357,0.004813694109437091,-0.011962887067395336,0.006922687295666932
fraction_exposed_exposed_h,-0.0011537470323321885,0.004322912386621504,-0.008852051388313353,0.006562999557454184
fraction_exposed_exposed_g,-0.0013710448153189036,0.0019762465547995384,-0.005022580745214195,0.0023446269142174403
fraction_exposed_exposed_c,-0.0014996897031739809,0.0035714882934445536,-0.011657457291522805,0.003838579702845535
fraction_exposed_exposed_v,-0.0016472293123115777,0.005786865878299643,-0.016703324225865273,0.005716949854952317
fraction_exposed_exposed_t,-0.0017031221304570653,0.006223241986009329,-0.014527935887633552,0.008570637119113425
fraction_exposed_nonpolar_exposed,-0.0017062832847385355,0.006465274618644268,-0.012799236052640125,0.011070763031981835
frac_aa_m,-0.0018120610602242859,0.004059935035234365,-0.00842280724394547,0.0065326114328883075
frac_aa_v,-0.002401460630257941,0.004211619038145345,-0.009784961090390103,0.0053830269453537674
